Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9
165,"(4, 2017)","(4, 2013)","(102, 2014)","(8, 2016)","(102, 2014)","(0, 2016)","(4, 2015)","(104, 2015)","(0, 2013)","(19, 2016)"
166,"(102, 2017)","(104, 2015)","(25, 2017)","(25, 2017)","(58, 2013)","(40, 2014)","(4, 2014)","(0, 2013)","(4, 2017)","(0, 2017)"
167,"(104, 2014)","(4, 2013)","(40, 2015)","(104, 2012)","(4, 2017)","(25, 2017)","(0, 2012)","(8, 2013)","(0, 2013)","(102, 2012)"
168,"(0, 2012)","(102, 2012)","(102, 2015)","(58, 2015)","(40, 2017)","(104, 2014)","(40, 2015)","(25, 2012)","(0, 2014)","(4, 2015)"
169,"(4, 2015)","(19, 2013)","(19, 2014)","(0, 2017)","(102, 2012)","(8, 2017)","(0, 2013)","(58, 2015)","(58, 2013)","(102, 2012)"
170,"(8, 2012)","(102, 2015)","(104, 2013)","(58, 2016)","(104, 2014)","(40, 2016)","(0, 2014)","(0, 2016)","(25, 2013)","(58, 2015)"
171,"(58, 2016)","(25, 2015)","(58, 2012)","(104, 2012)","(58, 2014)","(8, 2014)","(102, 2014)","(25, 2016)","(0, 2017)","(4, 2012)"
172,"(25, 2017)","(4, 2015)","(25, 2017)","(40, 2015)","(0, 2014)","(58, 2012)","(25, 2013)","(25, 2016)","(4, 2014)","(102, 2014)"
173,"(104, 2017)","(102, 2015)","(104, 2015)","(0, 2017)","(0, 2017)","(0, 2017)","(8, 2016)","(58, 2012)","(104, 2014)","(19, 2013)"
174,"(8, 2017)","(104, 2015)","(40, 2015)","(102, 2012)","(40, 2015)","(25, 2017)","(25, 2013)","(102, 2017)","(104, 2016)","(104, 2015)"
175,"(19, 2017)","(0, 2014)","(40, 2016)","(4, 2015)","(40, 2017)","(4, 2012)","(4, 2017)","(104, 2016)","(102, 2012)","(19, 2012)"
176,"(104, 2017)","(25, 2013)","(0, 2012)","(40, 2012)","(40, 2012)","(8, 2015)","(25, 2017)","(104, 2015)","(104, 2015)","(25, 2016)"
177,"(8, 2014)","(40, 2016)","(102, 2017)","(40, 2013)","(104, 2017)","(102, 2013)","(0, 2013)","(8, 2014)","(102, 2016)","(19, 2015)"
178,"(4, 2016)","(4, 2013)","(8, 2013)","(104, 2016)","(4, 2016)","(102, 2013)","(104, 2015)","(8, 2014)","(58, 2017)","(40, 2015)"
179,"(4, 2014)","(40, 2013)","(104, 2013)","(25, 2016)","(58, 2012)","(40, 2012)","(58, 2015)","(0, 2014)","(8, 2017)","(40, 2014)"
180,"(4, 2012)","(4, 2012)","(4, 2012)","(58, 2012)","(19, 2012)","(58, 2016)","(40, 2014)","(25, 2013)","(8, 2012)","(102, 2015)"
181,"(102, 2014)","(104, 2014)","(25, 2014)","(8, 2014)","(19, 2016)","(0, 2015)","(25, 2014)","(104, 2013)","(0, 2014)","(25, 2013)"
182,"(58, 2013)","(0, 2012)","(8, 2015)","(4, 2014)","(25, 2017)","(58, 2013)","(19, 2012)","(104, 2015)","(102, 2017)","(40, 2015)"
183,"(102, 2013)","(19, 2012)","(25, 2012)","(25, 2012)","(102, 2014)","(4, 2015)","(102, 2013)","(102, 2016)","(104, 2012)","(40, 2012)"
184,"(104, 2016)","(58, 2016)","(25, 2014)","(40, 2013)","(40, 2016)","(102, 2012)","(102, 2013)","(19, 2017)","(40, 2017)","(40, 2015)"
185,"(58, 2017)","(102, 2015)","(0, 2012)","(104, 2015)","(0, 2016)","(102, 2016)","(104, 2016)","(104, 2016)","(25, 2015)","(0, 2013)"
186,"(19, 2012)","(104, 2013)","(104, 2017)","(19, 2013)","(8, 2015)","(4, 2012)","(25, 2016)","(102, 2015)","(58, 2014)","(104, 2014)"
187,"(58, 2013)","(0, 2012)","(0, 2017)","(8, 2017)","(0, 2013)","(40, 2017)","(0, 2016)","(25, 2014)","(102, 2016)","(102, 2014)"
188,"(4, 2016)","(4, 2013)","(102, 2017)","(40, 2014)","(25, 2012)","(4, 2014)","(40, 2013)","(102, 2012)","(104, 2013)","(8, 2015)"
189,"(40, 2015)","(104, 2014)","(4, 2017)","(19, 2016)","(4, 2012)","(8, 2013)","(102, 2012)","(40, 2012)","(104, 2017)","(40, 2012)"
190,"(25, 2016)","(0, 2017)","(25, 2012)","(8, 2013)","(102, 2016)","(25, 2016)","(25, 2014)","(40, 2017)","(58, 2014)","(19, 2012)"
191,"(40, 2016)","(58, 2014)","(4, 2012)","(25, 2013)","(40, 2016)","(19, 2017)","(58, 2017)","(104, 2017)","(102, 2015)","(25, 2012)"
192,"(19, 2013)","(40, 2015)","(19, 2015)","(25, 2017)","(58, 2014)","(4, 2012)","(102, 2016)","(58, 2016)","(40, 2015)","(8, 2013)"
193,"(58, 2012)","(102, 2016)","(104, 2014)","(4, 2016)","(102, 2014)","(19, 2012)","(102, 2012)","(25, 2017)","(4, 2017)","(4, 2015)"
194,"(0, 2017)","(4, 2016)","(102, 2016)","(25, 2014)","(25, 2016)","(25, 2016)","(25, 2017)","(40, 2016)","(58, 2013)","(104, 2017)"
195,"(4, 2013)","(25, 2012)","(0, 2016)","(4, 2013)","(19, 2014)","(8, 2017)","(0, 2013)","(102, 2017)","(8, 2013)","(0, 2016)"
196,"(58, 2013)","(104, 2012)","(4, 2013)","(40, 2014)","(40, 2013)","(58, 2013)","(0, 2014)","(19, 2014)","(102, 2015)","(8, 2015)"
197,"(0, 2015)","(58, 2013)","(0, 2014)","(8, 2016)","(58, 2012)","(104, 2012)","(104, 2014)","(58, 2016)","(19, 2017)","(8, 2014)"
198,"(102, 2012)","(104, 2012)","(0, 2014)","(8, 2016)","(4, 2014)","(58, 2015)","(19, 2014)","(58, 2012)","(102, 2012)","(25, 2017)"
199,"(58, 2014)","(40, 2017)","(102, 2016)","(19, 2012)","(58, 2013)","(104, 2016)","(40, 2016)","(8, 2012)","(104, 2013)","(4, 2016)"
200,"(4, 2013)","(25, 2017)","(0, 2016)","(0, 2015)","(0, 2013)","(19, 2013)","(104, 2016)","(58, 2016)","(8, 2014)","(0, 2013)"
201,"(8, 2012)","(25, 2016)","(19, 2012)","(19, 2017)","(58, 2014)","(0, 2017)","(104, 2015)","(40, 2014)","(40, 2013)","(8, 2012)"
202,"(0, 2016)","(58, 2013)","(0, 2013)","(4, 2016)","(19, 2014)","(40, 2016)","(4, 2012)","(8, 2017)","(0, 2016)","(40, 2017)"
203,"(25, 2016)","(58, 2016)","(58, 2012)","(104, 2013)","(58, 2012)","(0, 2012)","(8, 2017)","(0, 2014)","(0, 2012)","(104, 2012)"
204,"(40, 2012)","(0, 2013)","(104, 2015)","(40, 2017)","(58, 2016)","(25, 2013)","(25, 2016)","(8, 2012)","(25, 2013)","(0, 2017)"
205,"(4, 2017)","(104, 2017)","(4, 2016)","(58, 2012)","(0, 2013)","(0, 2012)","(8, 2013)","(0, 2015)","(102, 2014)","(8, 2016)"
206,"(8, 2017)","(40, 2016)","(102, 2016)","(4, 2014)","(40, 2016)","(19, 2013)","(40, 2013)","(58, 2017)","(19, 2017)","(58, 2015)"
207,"(19, 2012)","(25, 2017)","(0, 2017)","(4, 2017)","(19, 2013)","(19, 2016)","(19, 2016)","(104, 2012)","(104, 2017)","(19, 2014)"
208,"(58, 2017)","(104, 2014)","(58, 2017)","(19, 2012)","(104, 2017)","(8, 2012)","(104, 2014)","(104, 2015)","(104, 2012)","(8, 2014)"
209,"(0, 2014)","(8, 2016)","(0, 2012)","(104, 2017)","(0, 2017)","(25, 2013)","(25, 2017)","(19, 2016)","(40, 2015)","(8, 2015)"
210,"(102, 2013)","(4, 2014)","(8, 2015)","(104, 2013)","(102, 2017)","(104, 2014)","(4, 2012)","(19, 2016)","(8, 2012)","(104, 2016)"
211,"(58, 2017)","(58, 2015)","(4, 2017)","(19, 2016)","(0, 2013)","(102, 2017)","(4, 2017)","(102, 2017)","(4, 2012)","(40, 2013)"
212,"(25, 2014)","(40, 2013)","(104, 2014)","(58, 2017)","(104, 2013)","(40, 2016)","(104, 2013)","(104, 2017)","(25, 2016)","(40, 2012)"
213,"(58, 2013)","(19, 2016)","(8, 2012)","(4, 2013)","(4, 2015)","(0, 2014)","(102, 2016)","(102, 2017)","(0, 2016)","(19, 2016)"
214,"(8, 2015)","(58, 2016)","(19, 2012)","(8, 2015)","(8, 2012)","(19, 2012)","(0, 2016)","(0, 2012)","(58, 2013)","(25, 2014)"
215,"(25, 2017)","(25, 2015)","(104, 2015)","(40, 2016)","(104, 2016)","(8, 2014)","(58, 2013)","(58, 2014)","(0, 2016)","(4, 2012)"
216,"(4, 2015)","(19, 2014)","(0, 2012)","(102, 2013)","(104, 2013)","(8, 2015)","(4, 2014)","(58, 2016)","(104, 2013)","(8, 2016)"
217,"(8, 2014)","(25, 2012)","(102, 2016)","(19, 2017)","(25, 2014)","(102, 2015)","(0, 2014)","(25, 2015)","(25, 2016)","(104, 2012)"
218,"(104, 2016)","(104, 2016)","(0, 2016)","(0, 2014)","(4, 2013)","(0, 2013)","(40, 2012)","(104, 2013)","(19, 2016)","(0, 2014)"
219,"(4, 2015)","(58, 2012)","(4, 2013)","(8, 2014)","(19, 2012)","(0, 2014)","(25, 2014)","(40, 2017)","(19, 2015)","(104, 2016)"
220,"(58, 2012)","(19, 2015)","(40, 2013)","(40, 2012)","(25, 2015)","(19, 2015)","(8, 2015)","(4, 2017)","(58, 2014)","(0, 2013)"
221,"(25, 2013)","(104, 2017)","(58, 2015)","(58, 2015)","(102, 2012)","(8, 2017)","(40, 2014)","(25, 2017)","(0, 2014)","(40, 2016)"
222,"(19, 2016)","(102, 2014)","(19, 2015)","(40, 2013)","(4, 2017)","(4, 2017)","(0, 2016)","(25, 2012)","(19, 2013)","(19, 2014)"
223,"(19, 2017)","(0, 2013)","(58, 2012)","(25, 2014)","(102, 2017)","(58, 2015)","(40, 2015)","(58, 2014)","(0, 2015)","(102, 2016)"
224,"(19, 2013)","(19, 2016)","(40, 2015)","(4, 2013)","(0, 2012)","(4, 2015)","(8, 2015)","(40, 2012)","(25, 2014)","(8, 2012)"
225,"(40, 2017)","(19, 2017)","(8, 2015)","(8, 2012)","(58, 2015)","(104, 2015)","(4, 2012)","(25, 2012)","(4, 2015)","(19, 2015)"
226,"(102, 2015)","(25, 2013)","(4, 2014)","(58, 2012)","(25, 2013)","(19, 2017)","(58, 2017)","(58, 2016)","(25, 2015)","(8, 2015)"
227,"(4, 2016)","(102, 2013)","(102, 2015)","(104, 2015)","(0, 2013)","(0, 2015)","(8, 2014)","(58, 2016)","(4, 2017)","(40, 2016)"
228,"(58, 2015)","(104, 2012)","(0, 2017)","(58, 2016)","(102, 2012)","(58, 2014)","(40, 2017)","(25, 2012)","(102, 2014)","(19, 2016)"
229,"(8, 2015)","(0, 2017)","(104, 2014)","(4, 2017)","(102, 2016)","(40, 2015)","(102, 2014)","(40, 2015)","(58, 2017)","(8, 2017)"
230,"(58, 2016)","(4, 2014)","(8, 2016)","(0, 2015)","(8, 2013)","(40, 2016)","(8, 2013)","(0, 2015)","(19, 2012)","(104, 2017)"
231,"(58, 2016)","(25, 2014)","(58, 2013)","(25, 2015)","(4, 2014)","(19, 2014)","(58, 2013)","(8, 2014)","(104, 2017)","(104, 2013)"
232,"(40, 2015)","(58, 2017)","(4, 2013)","(102, 2016)","(58, 2015)","(8, 2016)","(8, 2016)","(58, 2017)","(104, 2017)","(40, 2014)"
233,"(104, 2016)","(40, 2013)","(104, 2013)","(104, 2017)","(0, 2014)","(0, 2012)","(25, 2013)","(25, 2015)","(40, 2015)","(8, 2015)"
234,"(58, 2013)","(4, 2015)","(4, 2017)","(40, 2014)","(4, 2015)","(4, 2013)","(19, 2013)","(58, 2016)","(40, 2013)","(8, 2015)"
235,"(0, 2014)","(0, 2015)","(40, 2017)","(25, 2017)","(19, 2015)","(104, 2013)","(8, 2017)","(0, 2017)","(25, 2013)","(104, 2017)"
236,"(19, 2015)","(0, 2017)","(25, 2012)","(4, 2017)","(19, 2012)","(25, 2014)","(104, 2017)","(104, 2017)","(40, 2012)","(0, 2017)"
237,"(8, 2015)","(0, 2014)","(102, 2014)","(102, 2013)","(0, 2015)","(19, 2016)","(4, 2017)","(0, 2013)","(104, 2014)","(0, 2016)"
238,"(4, 2015)","(19, 2017)","(104, 2013)","(8, 2014)","(58, 2012)","(0, 2015)","(25, 2014)","(25, 2017)","(0, 2016)","(19, 2012)"
239,"(8, 2014)","(40, 2016)","(19, 2013)","(0, 2017)","(40, 2016)","(8, 2014)","(19, 2015)","(19, 2012)","(0, 2013)","(58, 2012)"
240,"(0, 2017)","(25, 2013)","(104, 2014)","(8, 2012)","(102, 2014)","(104, 2015)","(0, 2012)","(58, 2013)","(25, 2017)","(0, 2015)"
241,"(8, 2015)","(25, 2017)","(4, 2012)","(104, 2017)","(58, 2017)","(8, 2015)","(40, 2013)","(4, 2013)","(58, 2012)","(58, 2012)"
242,"(8, 2012)","(104, 2013)","(4, 2014)","(19, 2013)","(25, 2015)","(25, 2012)","(4, 2016)","(4, 2012)","(40, 2012)","(58, 2014)"
243,"(104, 2016)","(4, 2016)","(0, 2016)","(104, 2016)","(4, 2012)","(58, 2013)","(0, 2015)","(104, 2015)","(104, 2012)","(0, 2014)"
244,"(102, 2016)","(25, 2012)","(8, 2013)","(4, 2016)","(58, 2012)","(8, 2013)","(19, 2016)","(25, 2017)","(102, 2013)","(8, 2015)"
245,"(8, 2017)","(102, 2015)","(8, 2013)","(104, 2017)","(102, 2017)","(58, 2013)","(19, 2016)","(40, 2014)","(0, 2017)","(25, 2017)"
246,"(0, 2013)","(104, 2014)","(104, 2013)","(19, 2016)","(102, 2017)","(40, 2015)","(8, 2015)","(40, 2012)","(0, 2017)","(25, 2017)"
247,"(8, 2017)","(104, 2012)","(40, 2017)","(0, 2016)","(58, 2015)","(0, 2016)","(4, 2015)","(19, 2015)","(25, 2014)","(58, 2013)"
248,"(19, 2014)","(104, 2012)","(4, 2013)","(104, 2012)","(104, 2015)","(25, 2016)","(58, 2015)","(19, 2012)","(58, 2016)","(40, 2017)"
249,"(40, 2012)","(58, 2013)","(102, 2015)","(19, 2013)","(104, 2016)","(4, 2017)","(4, 2013)","(104, 2016)","(4, 2013)","(25, 2017)"
250,"(0, 2013)","(102, 2013)","(58, 2016)","(58, 2013)","(102, 2016)","(8, 2012)","(4, 2015)","(4, 2013)","(40, 2016)","(8, 2017)"
251,"(40, 2013)","(25, 2014)","(102, 2016)","(40, 2012)","(4, 2013)","(8, 2014)","(8, 2017)","(4, 2013)","(4, 2013)","(4, 2016)"
252,"(102, 2015)","(0, 2016)","(4, 2014)","(58, 2017)","(104, 2013)","(58, 2013)","(102, 2014)","(102, 2015)","(8, 2017)","(40, 2016)"
253,"(40, 2016)","(58, 2014)","(19, 2016)","(102, 2016)","(104, 2012)","(25, 2012)","(4, 2017)","(25, 2015)","(102, 2012)","(19, 2017)"
254,"(0, 2012)","(0, 2017)","(104, 2016)","(102, 2015)","(104, 2013)","(8, 2017)","(25, 2012)","(58, 2015)","(0, 2014)","(102, 2017)"
255,"(58, 2014)","(19, 2015)","(4, 2016)","(40, 2016)","(8, 2015)","(58, 2012)","(104, 2014)","(4, 2014)","(40, 2013)","(102, 2015)"
256,"(25, 2017)","(102, 2012)","(102, 2015)","(25, 2014)","(58, 2017)","(8, 2013)","(102, 2012)","(19, 2012)","(0, 2014)","(102, 2015)"
257,"(25, 2016)","(19, 2012)","(40, 2012)","(19, 2013)","(25, 2013)","(19, 2016)","(19, 2017)","(102, 2017)","(58, 2015)","(25, 2012)"
258,"(25, 2012)","(58, 2012)","(19, 2012)","(8, 2017)","(19, 2016)","(0, 2012)","(40, 2013)","(0, 2015)","(8, 2017)","(8, 2016)"
259,"(8, 2015)","(8, 2013)","(4, 2017)","(19, 2013)","(40, 2016)","(40, 2016)","(8, 2015)","(4, 2015)","(58, 2013)","(8, 2017)"
260,"(25, 2015)","(19, 2016)","(19, 2016)","(102, 2013)","(104, 2013)","(25, 2015)","(19, 2013)","(8, 2012)","(25, 2017)","(40, 2015)"
261,"(8, 2012)","(104, 2016)","(4, 2013)","(58, 2016)","(4, 2014)","(4, 2015)","(4, 2013)","(25, 2014)","(25, 2014)","(102, 2016)"
262,"(8, 2012)","(102, 2012)","(4, 2013)","(58, 2013)","(102, 2014)","(58, 2015)","(8, 2016)","(4, 2013)","(104, 2013)","(19, 2014)"
263,"(19, 2014)","(40, 2016)","(25, 2017)","(19, 2015)","(8, 2012)","(58, 2016)","(0, 2014)","(104, 2016)","(0, 2017)","(104, 2014)"
264,"(19, 2014)","(4, 2013)","(58, 2013)","(4, 2012)","(58, 2015)","(40, 2013)","(0, 2017)","(102, 2012)","(102, 2016)","(40, 2015)"
265,"(8, 2017)","(4, 2014)","(4, 2012)","(104, 2013)","(58, 2016)","(4, 2012)","(0, 2014)","(0, 2013)","(19, 2015)","(104, 2012)"
266,"(0, 2013)","(4, 2016)","(4, 2012)","(4, 2012)","(8, 2016)","(104, 2012)","(102, 2013)","(58, 2014)","(4, 2012)","(104, 2016)"
267,"(104, 2012)","(40, 2015)","(102, 2012)","(19, 2013)","(40, 2015)","(0, 2014)","(19, 2016)","(0, 2015)","(104, 2012)","(25, 2016)"
268,"(40, 2017)","(8, 2016)","(40, 2015)","(4, 2013)","(4, 2013)","(104, 2014)","(25, 2013)","(0, 2012)","(104, 2012)","(25, 2017)"
269,"(58, 2016)","(0, 2015)","(25, 2017)","(58, 2015)","(25, 2016)","(4, 2014)","(0, 2016)","(25, 2017)","(19, 2017)","(104, 2015)"
270,"(58, 2013)","(102, 2012)","(4, 2012)","(0, 2014)","(4, 2016)","(104, 2017)","(104, 2017)","(4, 2014)","(102, 2012)","(25, 2013)"
271,"(25, 2012)","(102, 2017)","(4, 2012)","(104, 2012)","(40, 2015)","(104, 2014)","(40, 2012)","(40, 2012)","(0, 2013)","(102, 2016)"
272,"(25, 2013)","(40, 2013)","(25, 2013)","(4, 2014)","(19, 2013)","(25, 2015)","(58, 2015)","(0, 2017)","(25, 2016)","(4, 2016)"
273,"(4, 2012)","(25, 2014)","(19, 2017)","(40, 2014)","(25, 2015)","(0, 2014)","(4, 2012)","(4, 2015)","(4, 2013)","(102, 2016)"
274,"(4, 2012)","(58, 2017)","(25, 2013)","(58, 2017)","(4, 2012)","(104, 2012)","(4, 2013)","(0, 2017)","(8, 2012)","(4, 2017)"
275,"(0, 2015)","(19, 2014)","(58, 2014)","(40, 2013)","(0, 2012)","(40, 2012)","(25, 2016)","(8, 2014)","(104, 2017)","(40, 2017)"
276,"(19, 2015)","(19, 2013)","(8, 2014)","(4, 2015)","(8, 2014)","(8, 2012)","(19, 2013)","(8, 2015)","(25, 2016)","(40, 2013)"
277,"(102, 2017)","(4, 2015)","(0, 2016)","(4, 2013)","(104, 2015)","(8, 2014)","(0, 2017)","(58, 2013)","(25, 2015)","(4, 2016)"
278,"(8, 2015)","(102, 2017)","(19, 2017)","(4, 2017)","(19, 2016)","(104, 2014)","(19, 2017)","(58, 2017)","(25, 2014)","(102, 2014)"
279,"(4, 2013)","(19, 2017)","(8, 2017)","(40, 2013)","(102, 2014)","(0, 2015)","(58, 2017)","(58, 2013)","(4, 2012)","(0, 2015)"
280,"(102, 2016)","(4, 2016)","(58, 2015)","(104, 2012)","(0, 2014)","(25, 2016)","(19, 2015)","(104, 2015)","(58, 2012)","(58, 2015)"
281,"(0, 2015)","(40, 2016)","(4, 2017)","(8, 2013)","(4, 2016)","(19, 2017)","(25, 2012)","(8, 2014)","(19, 2015)","(4, 2013)"
282,"(0, 2013)","(4, 2016)","(102, 2013)","(0, 2013)","(104, 2014)","(25, 2017)","(102, 2017)","(4, 2012)","(104, 2016)","(104, 2012)"
283,"(102, 2015)","(25, 2013)","(40, 2015)","(0, 2013)","(8, 2012)","(8, 2016)","(4, 2016)","(4, 2016)","(104, 2017)","(19, 2012)"
284,"(25, 2012)","(102, 2012)","(104, 2016)","(8, 2014)","(25, 2012)","(4, 2014)","(40, 2012)","(40, 2017)","(4, 2015)","(104, 2013)"
285,"(40, 2013)","(25, 2015)","(4, 2013)","(4, 2015)","(8, 2015)","(19, 2016)","(40, 2012)","(8, 2013)","(19, 2015)","(4, 2017)"
286,"(104, 2013)","(4, 2012)","(102, 2014)","(40, 2013)","(8, 2012)","(25, 2014)","(4, 2013)","(104, 2017)","(19, 2014)","(4, 2013)"
287,"(58, 2017)","(40, 2014)","(104, 2016)","(4, 2015)","(102, 2012)","(58, 2015)","(19, 2014)","(58, 2015)","(25, 2016)","(58, 2015)"
288,"(19, 2017)","(19, 2015)","(102, 2017)","(19, 2014)","(104, 2013)","(58, 2012)","(58, 2016)","(8, 2016)","(19, 2017)","(25, 2017)"
289,"(8, 2013)","(25, 2015)","(25, 2017)","(4, 2017)","(25, 2014)","(58, 2012)","(8, 2012)","(19, 2016)","(19, 2016)","(25, 2017)"
290,"(19, 2014)","(102, 2013)","(19, 2012)","(4, 2013)","(19, 2015)","(58, 2015)","(102, 2017)","(25, 2017)","(8, 2015)","(0, 2014)"
291,"(25, 2012)","(0, 2014)","(104, 2013)","(0, 2017)","(4, 2017)","(25, 2016)","(0, 2016)","(25, 2017)","(25, 2015)","(8, 2012)"
292,"(102, 2012)","(0, 2014)","(40, 2015)","(104, 2017)","(58, 2012)","(58, 2012)","(40, 2015)","(102, 2016)","(4, 2017)","(0, 2012)"
293,"(19, 2016)","(102, 2014)","(25, 2013)","(58, 2016)","(104, 2013)","(8, 2016)","(4, 2015)","(8, 2012)","(104, 2017)","(19, 2013)"
294,"(104, 2014)","(102, 2013)","(40, 2015)","(58, 2012)","(104, 2015)","(19, 2014)","(58, 2015)","(0, 2013)","(40, 2013)","(4, 2013)"
295,"(102, 2013)","(104, 2012)","(25, 2015)","(8, 2012)","(19, 2015)","(104, 2015)","(102, 2015)","(4, 2013)","(104, 2013)","(58, 2013)"
296,"(8, 2013)","(8, 2014)","(25, 2016)","(8, 2012)","(102, 2016)","(25, 2012)","(0, 2017)","(102, 2016)","(102, 2017)","(25, 2012)"
297,"(58, 2016)","(0, 2015)","(0, 2017)","(102, 2013)","(4, 2012)","(0, 2012)","(40, 2016)","(104, 2014)","(4, 2014)","(25, 2015)"
298,"(104, 2017)","(25, 2015)","(0, 2016)","(102, 2013)","(102, 2014)","(19, 2012)","(58, 2013)","(4, 2017)","(104, 2016)","(25, 2015)"
299,"(102, 2012)","(25, 2015)","(25, 2016)","(0, 2017)","(102, 2017)","(40, 2016)","(19, 2014)","(4, 2016)","(8, 2014)","(102, 2014)"
300,"(4, 2014)","(102, 2012)","(4, 2017)","(102, 2014)","(102, 2015)","(19, 2013)","(4, 2012)","(102, 2013)","(102, 2017)","(102, 2017)"
301,"(40, 2017)","(40, 2016)","(40, 2014)","(40, 2016)","(8, 2014)","(0, 2017)","(25, 2012)","(104, 2016)","(58, 2012)","(4, 2015)"
302,"(58, 2015)","(104, 2016)","(40, 2017)","(25, 2014)","(104, 2014)","(40, 2016)","(0, 2015)","(4, 2015)","(8, 2012)","(102, 2017)"
303,"(104, 2012)","(40, 2015)","(4, 2012)","(104, 2017)","(104, 2017)","(25, 2016)","(0, 2016)","(40, 2016)","(102, 2012)","(4, 2013)"
304,"(58, 2014)","(0, 2012)","(40, 2015)","(40, 2012)","(19, 2015)","(25, 2012)","(58, 2014)","(40, 2015)","(19, 2016)","(104, 2016)"
305,"(25, 2014)","(25, 2013)","(4, 2013)","(8, 2013)","(40, 2017)","(58, 2013)","(58, 2012)","(8, 2015)","(40, 2015)","(0, 2014)"
306,"(19, 2015)","(19, 2012)","(0, 2016)","(104, 2014)","(25, 2012)","(104, 2013)","(0, 2017)","(19, 2012)","(0, 2017)","(104, 2014)"
307,"(19, 2014)","(40, 2012)","(19, 2015)","(102, 2014)","(58, 2016)","(0, 2015)","(25, 2016)","(104, 2014)","(25, 2016)","(8, 2013)"
308,"(104, 2017)","(4, 2017)","(0, 2017)","(19, 2016)","(104, 2017)","(19, 2012)","(25, 2012)","(104, 2013)","(25, 2013)","(4, 2017)"
309,"(25, 2017)","(40, 2015)","(4, 2015)","(40, 2015)","(40, 2012)","(19, 2016)","(102, 2017)","(4, 2016)","(102, 2012)","(0, 2015)"
310,"(102, 2013)","(102, 2012)","(104, 2017)","(19, 2012)","(4, 2015)","(104, 2014)","(40, 2015)","(25, 2016)","(25, 2012)","(4, 2012)"
311,"(40, 2014)","(104, 2012)","(102, 2012)","(40, 2014)","(104, 2015)","(0, 2016)","(4, 2015)","(8, 2014)","(0, 2012)","(104, 2015)"
312,"(58, 2012)","(58, 2013)","(58, 2013)","(40, 2012)","(0, 2013)","(4, 2017)","(25, 2012)","(102, 2013)","(8, 2012)","(58, 2017)"
313,"(58, 2013)","(104, 2014)","(58, 2017)","(0, 2015)","(4, 2016)","(102, 2012)","(40, 2013)","(40, 2017)","(0, 2015)","(0, 2017)"
314,"(104, 2012)","(4, 2015)","(8, 2015)","(104, 2015)","(40, 2013)","(58, 2015)","(102, 2013)","(8, 2017)","(25, 2015)","(58, 2016)"
315,"(19, 2016)","(19, 2016)","(4, 2015)","(4, 2013)","(0, 2016)","(58, 2012)","(104, 2013)","(104, 2015)","(4, 2013)","(104, 2013)"
316,"(0, 2017)","(102, 2017)","(4, 2013)","(0, 2015)","(104, 2017)","(4, 2014)","(40, 2017)","(19, 2013)","(0, 2012)","(19, 2015)"
317,"(19, 2016)","(25, 2013)","(40, 2017)","(58, 2013)","(40, 2017)","(19, 2014)","(4, 2013)","(8, 2012)","(25, 2015)","(0, 2015)"
318,"(102, 2013)","(25, 2016)","(40, 2015)","(58, 2013)","(8, 2015)","(102, 2014)","(8, 2016)","(58, 2016)","(8, 2017)","(0, 2012)"
319,"(4, 2012)","(40, 2015)","(102, 2014)","(25, 2014)","(4, 2017)","(104, 2013)","(8, 2016)","(25, 2016)","(4, 2013)","(104, 2016)"
320,"(19, 2013)","(104, 2015)","(0, 2017)","(25, 2012)","(25, 2014)","(0, 2013)","(25, 2017)","(8, 2014)","(8, 2016)","(19, 2012)"
321,"(104, 2015)","(19, 2017)","(58, 2014)","(40, 2015)","(19, 2015)","(58, 2013)","(19, 2017)","(4, 2016)","(104, 2012)","(8, 2013)"
322,"(102, 2013)","(104, 2017)","(58, 2015)","(19, 2017)","(58, 2015)","(4, 2015)","(0, 2013)","(19, 2013)","(0, 2017)","(25, 2015)"
323,"(0, 2015)","(58, 2016)","(25, 2017)","(104, 2016)","(40, 2012)","(19, 2017)","(25, 2013)","(25, 2014)","(25, 2015)","(40, 2014)"
324,"(4, 2016)","(0, 2015)","(102, 2013)","(4, 2012)","(25, 2013)","(25, 2013)","(0, 2014)","(102, 2016)","(8, 2012)","(40, 2013)"
325,"(104, 2016)","(102, 2012)","(104, 2014)","(25, 2013)","(102, 2015)","(58, 2014)","(104, 2014)","(104, 2017)","(4, 2014)","(4, 2014)"
326,"(104, 2012)","(58, 2017)","(0, 2014)","(8, 2014)","(19, 2014)","(4, 2014)","(40, 2013)","(40, 2012)","(8, 2015)","(4, 2013)"
327,"(58, 2013)","(102, 2016)","(19, 2015)","(4, 2013)","(104, 2016)","(104, 2012)","(40, 2017)","(0, 2015)","(4, 2013)","(25, 2017)"
328,"(102, 2017)","(58, 2017)","(19, 2013)","(25, 2017)","(4, 2012)","(19, 2015)","(104, 2014)","(4, 2015)","(4, 2012)","(102, 2016)"
329,"(104, 2016)","(8, 2015)","(0, 2016)","(40, 2016)","(102, 2016)","(58, 2012)","(4, 2017)","(58, 2016)","(58, 2015)","(4, 2015)"
330,"(8, 2014)","(25, 2013)","(104, 2015)","(19, 2014)","(4, 2015)","(58, 2017)","(0, 2013)","(19, 2014)","(25, 2014)","(40, 2013)"
