Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,BM0,BM1,BM2,BM3,BM4,BM5
257,"(4, 2012, 128.1, 273.2)","(40, 2017, 104.0, 278.5)","(0, 2012, 105.4, 249.7)","(19, 2013, 97.6, 392.7)","(58, 2013, 80.7, 286.0)","(19, 2012, 93.4, 206.3)","(4, -1, 119.5, 243.7)","(40, -1, 94.6, 294.2)","(0, -1, 117.2, 260.8)","(19, -1, 93.8, 372.6)","(58, -1, 75.0, 295.3)","(19, -1, 91.8, 206.9)"
258,"(0, 2015, 109.9, 227.4)","(19, 2015, 74.4, 227.3)","(58, 2017, 137.2, 246.0)","(40, 2017, 96.0, 234.2)","(4, 2013, 36.9, 274.6)","(102, 2016, 121.0, 248.1)","(0, -1, 89.3, 221.5)","(19, -1, 85.4, 204.7)","(58, -1, 158.6, 238.8)","(40, -1, 90.8, 227.4)","(4, -1, 35.4, 265.5)","(102, -1, 98.5, 259.9)"
259,"(19, 2012, 69.2, 352.1)","(25, 2015, 76.1, 379.2)","(102, 2015, 83.5, 241.3)","(0, 2017, 94.9, 331.9)","(19, 2012, 102.2, 317.8)","(40, 2017, 61.3, 322.7)","(19, -1, 68.8, 372.2)","(25, -1, 85.2, 366.5)","(102, -1, 77.2, 245.8)","(0, -1, 107.9, 289.1)","(19, -1, 117.4, 257.6)","(40, -1, 56.0, 347.9)"
260,"(58, 2016, 99.6, 207.1)","(58, 2013, 102.4, 243.7)","(102, 2012, 59.4, 258.6)","(25, 2016, 83.7, 217.5)","(102, 2014, 127.8, 392.0)","(8, 2014, 104.5, 351.3)","(58, -1, 87.6, 194.5)","(58, -1, 104.4, 219.1)","(102, -1, 67.9, 240.2)","(25, -1, 77.0, 226.0)","(102, -1, 126.2, 411.4)","(8, -1, 118.2, 341.4)"
261,"(0, 2016, 135.3, 231.1)","(4, 2017, 116.6, 223.1)","(58, 2013, 119.6, 360.5)","(40, 2012, 48.5, 305.0)","(25, 2015, 121.6, 216.0)","(104, 2012, 90.3, 254.8)","(0, -1, 141.3, 252.9)","(4, -1, 83.9, 218.5)","(58, -1, 100.1, 356.2)","(40, -1, 50.9, 284.8)","(25, -1, 136.1, 222.1)","(104, -1, 98.9, 274.1)"
262,"(102, 2013, 95.9, 225.2)","(104, 2014, 100.4, 305.2)","(58, 2017, 101.2, 305.9)","(4, 2012, 122.0, 398.1)","(25, 2017, 102.3, 214.5)","(104, 2016, 149.6, 390.1)","(102, -1, 88.2, 230.8)","(104, -1, 88.1, 317.1)","(58, -1, 117.2, 300.1)","(4, -1, 135.1, 348.8)","(25, -1, 103.2, 217.6)","(104, -1, 165.0, 400.1)"
263,"(40, 2012, 105.2, 319.7)","(4, 2017, 101.2, 229.7)","(58, 2012, 145.1, 296.1)","(8, 2014, 86.7, 227.2)","(102, 2014, 70.4, 371.6)","(40, 2015, 158.1, 338.4)","(40, -1, 108.8, 309.7)","(4, -1, 105.8, 237.0)","(58, -1, 149.3, 307.2)","(8, -1, 76.2, 215.5)","(102, -1, 62.4, 371.4)","(40, -1, 160.2, 343.6)"
264,"(102, 2014, 90.8, 383.0)","(58, 2014, 99.1, 388.6)","(58, 2012, 143.0, 227.4)","(19, 2014, 99.5, 353.5)","(19, 2012, 72.9, 255.5)","(25, 2012, 60.6, 397.9)","(102, -1, 80.3, 430.8)","(58, -1, 113.4, 367.0)","(58, -1, 161.6, 235.2)","(19, -1, 104.3, 379.2)","(19, -1, 56.7, 227.4)","(25, -1, 58.0, 428.7)"
265,"(25, 2016, 96.5, 242.4)","(4, 2012, 133.7, 272.7)","(19, 2015, 96.2, 258.8)","(40, 2012, 70.7, 339.7)","(4, 2012, 82.1, 262.7)","(102, 2013, 94.4, 245.1)","(25, -1, 92.7, 239.2)","(4, -1, 138.2, 266.4)","(19, -1, 104.2, 256.7)","(40, -1, 60.0, 330.9)","(4, -1, 78.9, 268.6)","(102, -1, 97.6, 254.9)"
266,"(40, 2015, 108.9, 228.0)","(25, 2013, 97.1, 226.4)","(8, 2016, 76.8, 392.4)","(0, 2012, 104.2, 381.0)","(104, 2015, 83.8, 334.1)","(102, 2015, 85.9, 375.5)","(40, -1, 98.1, 203.7)","(25, -1, 113.9, 204.2)","(8, -1, 71.9, 392.8)","(0, -1, 89.0, 368.0)","(104, -1, 93.1, 384.5)","(102, -1, 82.6, 376.0)"
267,"(4, 2016, 102.6, 397.2)","(4, 2014, 97.9, 272.0)","(4, 2015, 87.3, 355.7)","(102, 2014, 69.1, 319.2)","(25, 2016, 69.2, 222.9)","(104, 2017, 94.0, 263.5)","(4, -1, 115.1, 381.5)","(4, -1, 99.2, 261.5)","(4, -1, 90.1, 348.1)","(102, -1, 66.9, 364.9)","(25, -1, 77.0, 229.3)","(104, -1, 84.8, 285.3)"
268,"(58, 2017, 98.8, 204.4)","(4, 2014, 108.7, 393.7)","(8, 2017, 80.2, 272.6)","(104, 2016, 102.1, 336.4)","(25, 2012, 75.9, 392.5)","(102, 2012, 77.6, 396.9)","(58, -1, 124.0, 201.8)","(4, -1, 108.4, 446.9)","(8, -1, 91.0, 300.1)","(104, -1, 116.0, 311.9)","(25, -1, 77.4, 451.8)","(102, -1, 81.2, 409.9)"
269,"(104, 2012, 118.9, 291.2)","(104, 2013, 112.3, 208.5)","(19, 2015, 91.0, 392.3)","(8, 2016, 123.1, 208.9)","(40, 2014, 129.6, 357.5)","(58, 2016, 72.2, 202.1)","(104, -1, 99.7, 295.6)","(104, -1, 118.3, 213.3)","(19, -1, 86.3, 356.6)","(8, -1, 133.3, 199.4)","(40, -1, 100.0, 334.5)","(58, -1, 67.0, 193.2)"
270,"(25, 2013, 115.3, 361.6)","(40, 2014, 134.7, 266.7)","(102, 2013, 93.7, 300.0)","(0, 2014, 81.1, 207.2)","(19, 2015, 76.6, 215.2)","(40, 2012, 123.5, 249.4)","(25, -1, 121.1, 366.0)","(40, -1, 135.0, 269.1)","(102, -1, 94.0, 288.8)","(0, -1, 76.3, 218.0)","(19, -1, 73.9, 209.2)","(40, -1, 120.1, 255.5)"
271,"(40, 2012, 113.7, 302.4)","(102, 2015, 124.0, 373.3)","(104, 2017, 76.3, 207.6)","(0, 2015, 87.5, 379.5)","(8, 2017, 89.9, 234.3)","(58, 2012, 114.8, 263.2)","(40, -1, 150.5, 293.4)","(102, -1, 124.1, 352.3)","(104, -1, 68.1, 204.0)","(0, -1, 96.1, 350.6)","(8, -1, 89.5, 234.5)","(58, -1, 111.9, 297.4)"
272,"(40, 2016, 100.2, 338.0)","(4, 2014, 77.8, 385.6)","(40, 2016, 101.2, 247.0)","(4, 2016, 95.5, 280.3)","(8, 2015, 107.0, 255.9)","(19, 2012, 75.7, 332.6)","(40, -1, 102.7, 365.1)","(4, -1, 76.9, 420.9)","(40, -1, 115.2, 211.3)","(4, -1, 93.3, 312.3)","(8, -1, 117.7, 263.2)","(19, -1, 79.7, 323.2)"
273,"(0, 2014, 134.7, 359.7)","(19, 2017, 84.8, 313.9)","(0, 2012, 94.4, 248.4)","(4, 2017, 148.3, 234.5)","(8, 2012, 77.7, 223.5)","(8, 2012, 100.5, 363.1)","(0, -1, 146.7, 365.1)","(19, -1, 102.5, 283.6)","(0, -1, 100.6, 275.3)","(4, -1, 142.7, 228.7)","(8, -1, 83.0, 223.2)","(8, -1, 104.2, 333.7)"
274,"(19, 2015, 132.5, 213.9)","(25, 2012, 134.3, 383.2)","(40, 2012, 113.7, 266.7)","(104, 2017, 73.8, 323.4)","(40, 2017, 45.7, 346.5)","(4, 2014, 133.0, 330.9)","(19, -1, 144.8, 229.6)","(25, -1, 137.5, 380.1)","(40, -1, 109.5, 273.1)","(104, -1, 87.5, 299.1)","(40, -1, 46.3, 318.1)","(4, -1, 151.8, 356.0)"
275,"(58, 2015, 77.4, 254.1)","(4, 2016, 65.0, 358.1)","(58, 2013, 151.1, 255.8)","(4, 2017, 49.4, 248.2)","(40, 2012, 99.8, 270.3)","(58, 2012, 59.5, 326.3)","(58, -1, 71.7, 259.1)","(4, -1, 61.0, 305.0)","(58, -1, 134.4, 271.5)","(4, -1, 40.6, 238.1)","(40, -1, 96.6, 287.6)","(58, -1, 61.2, 327.0)"
276,"(8, 2014, 111.1, 323.5)","(8, 2016, 101.2, 386.3)","(8, 2013, 122.8, 240.2)","(104, 2014, 98.9, 357.2)","(58, 2013, 100.7, 221.4)","(19, 2014, 86.1, 317.8)","(8, -1, 92.1, 374.5)","(8, -1, 105.0, 344.8)","(8, -1, 118.3, 254.9)","(104, -1, 96.6, 368.8)","(58, -1, 105.6, 232.7)","(19, -1, 84.7, 333.5)"
277,"(25, 2014, 96.0, 392.3)","(4, 2017, 119.7, 399.7)","(58, 2015, 41.4, 226.3)","(58, 2014, 77.7, 210.0)","(104, 2017, 84.2, 294.5)","(104, 2016, 137.2, 275.2)","(25, -1, 82.1, 404.9)","(4, -1, 124.6, 313.6)","(58, -1, 41.0, 210.6)","(58, -1, 83.9, 203.0)","(104, -1, 81.4, 291.6)","(104, -1, 165.4, 276.9)"
278,"(104, 2015, 81.6, 317.8)","(40, 2013, 100.5, 399.4)","(8, 2017, 107.3, 235.1)","(8, 2015, 145.2, 232.5)","(40, 2017, 69.6, 319.6)","(40, 2013, 63.1, 332.2)","(104, -1, 74.9, 324.7)","(40, -1, 101.5, 403.9)","(8, -1, 110.7, 243.9)","(8, -1, 149.9, 266.2)","(40, -1, 67.5, 336.2)","(40, -1, 63.6, 360.3)"
279,"(25, 2013, 86.8, 270.8)","(4, 2013, 150.9, 325.9)","(4, 2014, 111.4, 372.1)","(104, 2017, 101.3, 340.0)","(104, 2016, 104.7, 202.1)","(19, 2015, 79.7, 275.3)","(25, -1, 100.0, 273.1)","(4, -1, 158.9, 337.9)","(4, -1, 114.8, 433.5)","(104, -1, 86.9, 321.3)","(104, -1, 100.2, 192.3)","(19, -1, 90.6, 301.1)"
280,"(0, 2013, 73.0, 200.8)","(8, 2016, 117.1, 226.7)","(19, 2013, 135.4, 317.3)","(58, 2013, 111.1, 309.3)","(25, 2012, 98.1, 217.6)","(102, 2013, 72.7, 207.3)","(0, -1, 72.9, 208.1)","(8, -1, 130.2, 192.1)","(19, -1, 102.4, 300.1)","(58, -1, 118.2, 308.3)","(25, -1, 94.6, 220.4)","(102, -1, 77.2, 197.1)"
281,"(40, 2012, 89.1, 298.0)","(40, 2012, 141.9, 238.2)","(19, 2017, 26.9, 378.1)","(104, 2013, 142.1, 223.6)","(102, 2016, 96.3, 227.4)","(4, 2017, 90.8, 214.5)","(40, -1, 89.9, 308.4)","(40, -1, 141.2, 215.6)","(19, -1, 25.0, 331.0)","(104, -1, 147.1, 226.6)","(102, -1, 80.1, 243.2)","(4, -1, 92.9, 210.3)"
282,"(102, 2016, 103.4, 275.1)","(40, 2014, 94.5, 389.9)","(25, 2012, 37.5, 298.6)","(0, 2016, 84.9, 260.4)","(40, 2016, 118.2, 262.2)","(102, 2014, 130.2, 356.7)","(102, -1, 115.5, 259.8)","(40, -1, 86.5, 369.6)","(25, -1, 36.7, 285.4)","(0, -1, 87.6, 284.6)","(40, -1, 121.4, 268.6)","(102, -1, 135.1, 358.8)"
283,"(104, 2012, 74.1, 200.3)","(4, 2013, 93.9, 269.5)","(58, 2012, 65.3, 284.7)","(58, 2017, 98.0, 347.2)","(0, 2017, 124.5, 361.6)","(8, 2015, 94.8, 321.6)","(104, -1, 76.1, 192.0)","(4, -1, 89.7, 249.8)","(58, -1, 62.8, 275.8)","(58, -1, 104.5, 306.8)","(0, -1, 111.5, 390.5)","(8, -1, 83.7, 336.6)"
284,"(104, 2016, 87.6, 306.0)","(58, 2014, 58.2, 387.0)","(58, 2012, 105.4, 283.7)","(19, 2014, 83.2, 396.7)","(25, 2015, 94.6, 345.2)","(25, 2013, 77.5, 213.6)","(104, -1, 89.6, 336.5)","(58, -1, 57.6, 376.9)","(58, -1, 111.0, 312.9)","(19, -1, 79.7, 376.6)","(25, -1, 86.4, 381.1)","(25, -1, 73.2, 227.0)"
285,"(25, 2013, 68.8, 273.3)","(4, 2016, 95.6, 363.6)","(25, 2012, 83.5, 287.9)","(19, 2015, 129.9, 396.9)","(104, 2012, 60.2, 246.1)","(8, 2012, 80.2, 390.4)","(25, -1, 68.3, 259.2)","(4, -1, 92.2, 335.5)","(25, -1, 76.9, 289.4)","(19, -1, 133.7, 406.2)","(104, -1, 69.7, 233.7)","(8, -1, 71.6, 416.9)"
286,"(4, 2014, 84.4, 328.9)","(102, 2016, 58.5, 380.1)","(104, 2016, 110.9, 248.4)","(19, 2012, 35.7, 341.9)","(19, 2012, 84.4, 328.1)","(0, 2015, 108.4, 272.9)","(4, -1, 84.7, 377.7)","(102, -1, 49.7, 407.3)","(104, -1, 111.0, 234.3)","(19, -1, 34.4, 301.2)","(19, -1, 89.5, 366.5)","(0, -1, 109.4, 294.8)"
287,"(102, 2017, 126.8, 269.2)","(102, 2012, 62.9, 209.4)","(40, 2016, 92.6, 244.0)","(19, 2014, 92.2, 381.3)","(102, 2015, 132.0, 271.1)","(104, 2014, 136.3, 327.4)","(102, -1, 146.3, 267.1)","(102, -1, 64.8, 228.0)","(40, -1, 103.9, 201.4)","(19, -1, 99.5, 333.9)","(102, -1, 130.8, 263.9)","(104, -1, 144.6, 349.2)"
288,"(40, 2012, 77.3, 280.3)","(40, 2015, 78.1, 322.3)","(4, 2017, 83.9, 382.3)","(102, 2014, 35.9, 320.6)","(58, 2015, 106.1, 359.4)","(4, 2013, 114.3, 211.3)","(40, -1, 75.0, 325.5)","(40, -1, 63.9, 304.3)","(4, -1, 81.6, 401.5)","(102, -1, 35.5, 293.5)","(58, -1, 100.5, 286.2)","(4, -1, 116.6, 211.5)"
289,"(104, 2013, 127.6, 261.7)","(4, 2017, 81.3, 396.7)","(8, 2016, 152.4, 320.2)","(0, 2015, 66.4, 258.9)","(8, 2017, 67.6, 355.7)","(25, 2015, 129.0, 344.4)","(104, -1, 106.7, 287.9)","(4, -1, 79.9, 383.0)","(8, -1, 159.9, 300.0)","(0, -1, 62.1, 250.1)","(8, -1, 62.3, 315.7)","(25, -1, 145.2, 323.7)"
290,"(25, 2016, 76.2, 388.4)","(104, 2013, 100.0, 391.2)","(25, 2015, 104.6, 351.2)","(102, 2017, 104.7, 207.1)","(40, 2017, 109.9, 204.6)","(8, 2017, 83.4, 369.1)","(25, -1, 69.0, 437.8)","(104, -1, 120.7, 403.8)","(25, -1, 111.4, 390.9)","(102, -1, 110.7, 213.8)","(40, -1, 88.6, 207.2)","(8, -1, 89.7, 362.3)"
291,"(19, 2016, 96.7, 361.7)","(0, 2016, 29.0, 399.5)","(102, 2015, 110.5, 309.4)","(58, 2013, 30.6, 224.8)","(104, 2017, 106.6, 208.0)","(4, 2017, 105.7, 308.6)","(19, -1, 114.1, 358.8)","(0, -1, 25.9, 433.2)","(102, -1, 118.3, 270.4)","(58, -1, 25.9, 208.8)","(104, -1, 90.2, 215.6)","(4, -1, 98.6, 306.4)"
292,"(102, 2014, 135.0, 218.0)","(58, 2013, 138.9, 385.3)","(104, 2017, 121.1, 239.4)","(25, 2015, 122.6, 347.5)","(19, 2015, 108.0, 348.6)","(40, 2015, 85.0, 235.0)","(102, -1, 148.8, 210.3)","(58, -1, 158.6, 397.2)","(104, -1, 110.0, 216.3)","(25, -1, 128.5, 348.2)","(19, -1, 97.5, 347.2)","(40, -1, 86.9, 224.2)"
293,"(8, 2013, 74.4, 335.3)","(0, 2014, 84.6, 247.8)","(4, 2014, 142.3, 286.4)","(25, 2016, 106.7, 329.2)","(0, 2016, 90.0, 371.7)","(40, 2012, 92.5, 213.4)","(8, -1, 75.5, 324.3)","(0, -1, 73.4, 257.9)","(4, -1, 146.8, 272.8)","(25, -1, 98.1, 313.7)","(0, -1, 83.0, 403.6)","(40, -1, 92.3, 207.2)"
294,"(104, 2012, 105.5, 203.7)","(19, 2012, 94.5, 268.3)","(4, 2012, 117.3, 345.1)","(40, 2014, 64.6, 246.7)","(0, 2015, 79.6, 299.0)","(104, 2014, 50.2, 213.3)","(104, -1, 83.0, 187.0)","(19, -1, 94.5, 275.4)","(4, -1, 115.6, 299.8)","(40, -1, 67.0, 261.7)","(0, -1, 75.2, 301.9)","(104, -1, 48.7, 228.9)"
295,"(4, 2014, 111.1, 359.4)","(58, 2016, 116.8, 333.9)","(102, 2014, 118.0, 379.5)","(4, 2017, 92.6, 380.3)","(25, 2012, 127.8, 346.8)","(104, 2017, 79.6, 300.3)","(4, -1, 108.7, 330.6)","(58, -1, 115.2, 354.8)","(102, -1, 129.0, 353.5)","(4, -1, 97.9, 363.6)","(25, -1, 117.2, 342.0)","(104, -1, 93.0, 282.2)"
296,"(58, 2017, 85.6, 399.4)","(102, 2016, 129.9, 390.4)","(40, 2012, 34.3, 285.9)","(102, 2016, 139.7, 218.4)","(104, 2016, 135.4, 301.6)","(40, 2017, 119.2, 318.5)","(58, -1, 75.4, 399.0)","(102, -1, 115.1, 382.2)","(40, -1, 36.2, 319.6)","(102, -1, 148.2, 233.0)","(104, -1, 148.6, 336.1)","(40, -1, 114.6, 345.5)"
297,"(4, 2013, 104.1, 399.4)","(25, 2016, 120.4, 361.8)","(102, 2013, 59.3, 232.1)","(104, 2015, 107.5, 388.7)","(102, 2012, 133.3, 262.6)","(102, 2014, 120.7, 385.2)","(4, -1, 123.8, 334.6)","(25, -1, 111.4, 330.1)","(102, -1, 74.1, 222.9)","(104, -1, 110.3, 391.6)","(102, -1, 131.0, 293.8)","(102, -1, 139.0, 375.3)"
298,"(0, 2015, 87.9, 317.1)","(58, 2014, 104.0, 321.0)","(19, 2012, 85.4, 373.2)","(102, 2014, 82.6, 359.2)","(8, 2016, 71.3, 352.5)","(58, 2015, 118.0, 349.6)","(0, -1, 91.6, 327.3)","(58, -1, 112.3, 304.4)","(19, -1, 90.7, 438.9)","(102, -1, 78.6, 382.9)","(8, -1, 64.7, 349.3)","(58, -1, 112.3, 357.9)"
299,"(19, 2017, 76.5, 311.3)","(40, 2013, 68.8, 200.3)","(104, 2014, 124.4, 324.2)","(40, 2015, 75.6, 357.5)","(0, 2013, 77.0, 222.2)","(58, 2012, 103.9, 372.3)","(19, -1, 85.2, 315.6)","(40, -1, 64.0, 220.0)","(104, -1, 134.5, 337.3)","(40, -1, 80.3, 363.2)","(0, -1, 67.6, 195.4)","(58, -1, 111.6, 342.7)"
300,"(4, 2012, 66.5, 201.0)","(25, 2015, 126.4, 265.2)","(102, 2013, 98.1, 301.8)","(40, 2017, 142.6, 352.5)","(8, 2015, 93.2, 257.7)","(58, 2015, 92.2, 230.8)","(4, -1, 58.3, 196.4)","(25, -1, 136.7, 237.5)","(102, -1, 110.8, 347.5)","(40, -1, 129.1, 386.4)","(8, -1, 99.8, 254.9)","(58, -1, 95.7, 243.3)"
301,"(25, 2013, 56.1, 206.2)","(102, 2016, 110.5, 312.2)","(19, 2014, 132.1, 214.9)","(58, 2017, 86.8, 304.3)","(102, 2017, 125.7, 384.1)","(0, 2014, 103.8, 254.0)","(25, -1, 54.7, 183.3)","(102, -1, 105.8, 321.9)","(19, -1, 146.3, 226.4)","(58, -1, 78.8, 281.9)","(102, -1, 108.3, 413.6)","(0, -1, 103.2, 271.1)"
302,"(58, 2014, 78.5, 315.3)","(25, 2015, 111.7, 201.2)","(8, 2014, 106.8, 364.5)","(19, 2015, 81.1, 378.8)","(8, 2015, 142.7, 357.8)","(0, 2013, 106.5, 383.4)","(58, -1, 81.9, 321.1)","(25, -1, 121.6, 235.7)","(8, -1, 105.7, 333.5)","(19, -1, 86.5, 350.6)","(8, -1, 126.3, 360.0)","(0, -1, 109.5, 342.3)"
303,"(40, 2012, 106.8, 287.5)","(104, 2013, 100.8, 264.8)","(4, 2016, 116.4, 203.5)","(0, 2014, 117.9, 236.5)","(40, 2013, 93.2, 319.2)","(8, 2013, 129.1, 361.8)","(40, -1, 120.5, 283.9)","(104, -1, 98.0, 303.6)","(4, -1, 121.1, 191.8)","(0, -1, 114.1, 234.3)","(40, -1, 109.3, 298.8)","(8, -1, 136.1, 362.1)"
304,"(4, 2013, 95.3, 345.1)","(19, 2016, 116.4, 253.9)","(0, 2016, 118.7, 247.5)","(58, 2014, 139.0, 238.4)","(0, 2017, 68.5, 297.8)","(102, 2012, 84.2, 385.0)","(4, -1, 96.9, 338.2)","(19, -1, 124.4, 255.8)","(0, -1, 125.6, 247.0)","(58, -1, 123.0, 246.6)","(0, -1, 75.1, 287.3)","(102, -1, 79.8, 406.1)"
305,"(19, 2017, 115.8, 246.1)","(104, 2014, 107.3, 252.9)","(25, 2017, 79.2, 203.6)","(25, 2017, 94.8, 265.5)","(40, 2012, 82.4, 392.8)","(4, 2012, 61.1, 266.5)","(19, -1, 112.3, 252.9)","(104, -1, 104.3, 211.0)","(25, -1, 69.1, 223.3)","(25, -1, 79.2, 258.1)","(40, -1, 84.9, 392.9)","(4, -1, 61.0, 269.0)"
306,"(58, 2016, 143.5, 210.5)","(104, 2016, 70.6, 286.3)","(58, 2017, 90.7, 370.7)","(4, 2013, 90.9, 212.9)","(25, 2014, 112.1, 301.9)","(25, 2012, 58.3, 381.9)","(58, -1, 105.8, 209.6)","(104, -1, 68.1, 297.0)","(58, -1, 87.1, 427.7)","(4, -1, 99.1, 207.2)","(25, -1, 122.6, 289.0)","(25, -1, 63.9, 317.0)"
307,"(104, 2012, 89.8, 250.1)","(58, 2012, 112.2, 265.4)","(8, 2017, 98.3, 307.0)","(19, 2013, 94.1, 273.4)","(104, 2016, 104.6, 229.2)","(0, 2016, 125.6, 273.1)","(104, -1, 92.5, 231.5)","(58, -1, 112.6, 257.0)","(8, -1, 99.3, 320.2)","(19, -1, 79.0, 286.7)","(104, -1, 89.9, 220.5)","(0, -1, 116.7, 285.9)"
308,"(40, 2013, 90.1, 255.8)","(104, 2014, 73.1, 316.4)","(102, 2014, 88.7, 250.4)","(40, 2013, 87.4, 313.3)","(58, 2016, 87.7, 203.4)","(40, 2014, 90.4, 335.0)","(40, -1, 95.1, 229.6)","(104, -1, 72.8, 303.2)","(102, -1, 75.2, 246.1)","(40, -1, 108.4, 303.6)","(58, -1, 86.2, 190.6)","(40, -1, 82.1, 312.7)"
309,"(102, 2012, 54.4, 241.3)","(25, 2012, 72.4, 275.2)","(8, 2016, 108.9, 287.6)","(58, 2013, 94.4, 362.2)","(58, 2013, 55.3, 377.8)","(104, 2014, 124.6, 368.7)","(102, -1, 46.6, 255.9)","(25, -1, 77.8, 259.2)","(8, -1, 132.7, 310.8)","(58, -1, 99.2, 300.7)","(58, -1, 53.0, 326.8)","(104, -1, 121.0, 326.7)"
310,"(4, 2016, 64.9, 259.0)","(0, 2016, 120.5, 362.7)","(40, 2017, 109.7, 329.9)","(0, 2014, 70.3, 371.5)","(4, 2016, 69.9, 235.1)","(25, 2016, 96.2, 397.5)","(4, -1, 59.8, 271.6)","(0, -1, 109.4, 417.1)","(40, -1, 135.8, 319.1)","(0, -1, 62.0, 385.8)","(4, -1, 70.2, 243.6)","(25, -1, 86.5, 386.2)"
311,"(4, 2017, 145.8, 226.7)","(0, 2014, 120.4, 329.3)","(19, 2016, 73.2, 202.9)","(19, 2017, 121.0, 382.3)","(0, 2017, 47.5, 247.5)","(104, 2014, 106.1, 365.5)","(4, -1, 149.9, 231.9)","(0, -1, 117.2, 354.2)","(19, -1, 72.0, 235.0)","(19, -1, 138.1, 423.0)","(0, -1, 46.3, 233.0)","(104, -1, 97.7, 345.1)"
312,"(8, 2017, 99.1, 361.2)","(40, 2017, 119.8, 278.4)","(25, 2017, 127.8, 316.9)","(8, 2015, 162.4, 271.9)","(25, 2013, 29.0, 361.7)","(8, 2013, 73.5, 263.9)","(8, -1, 108.7, 366.1)","(40, -1, 134.3, 248.7)","(25, -1, 132.6, 353.4)","(8, -1, 177.9, 303.2)","(25, -1, 27.5, 359.1)","(8, -1, 79.6, 262.3)"
313,"(0, 2016, 126.5, 331.9)","(4, 2012, 124.0, 317.8)","(40, 2012, 120.6, 343.3)","(40, 2013, 36.9, 210.8)","(104, 2012, 139.2, 360.2)","(0, 2014, 94.9, 243.7)","(0, -1, 128.9, 363.7)","(4, -1, 135.5, 323.4)","(40, -1, 111.0, 359.0)","(40, -1, 36.2, 199.3)","(104, -1, 122.2, 339.8)","(0, -1, 83.9, 241.9)"
314,"(0, 2014, 150.8, 327.1)","(40, 2017, 98.4, 254.6)","(102, 2017, 113.3, 203.3)","(19, 2015, 124.1, 347.8)","(58, 2012, 91.1, 213.8)","(0, 2013, 43.9, 316.2)","(0, -1, 146.1, 370.3)","(40, -1, 102.2, 243.7)","(102, -1, 89.0, 199.0)","(19, -1, 132.2, 341.4)","(58, -1, 110.8, 235.9)","(0, -1, 46.2, 331.2)"
315,"(8, 2015, 114.3, 302.3)","(0, 2016, 98.9, 212.7)","(40, 2014, 120.8, 361.2)","(4, 2013, 96.8, 356.3)","(102, 2017, 105.5, 280.8)","(19, 2013, 109.1, 292.1)","(8, -1, 101.9, 311.9)","(0, -1, 93.4, 210.6)","(40, -1, 128.0, 350.3)","(4, -1, 104.9, 382.9)","(102, -1, 105.8, 289.3)","(19, -1, 107.5, 314.5)"
316,"(8, 2012, 91.5, 214.7)","(19, 2013, 66.2, 286.2)","(8, 2016, 67.6, 290.2)","(19, 2012, 119.3, 342.0)","(102, 2012, 98.4, 386.8)","(102, 2015, 69.0, 367.7)","(8, -1, 75.5, 188.4)","(19, -1, 73.0, 282.2)","(8, -1, 53.8, 288.6)","(19, -1, 108.8, 368.9)","(102, -1, 89.8, 411.7)","(102, -1, 67.4, 396.9)"
317,"(4, 2012, 142.1, 268.6)","(25, 2015, 128.5, 354.4)","(58, 2016, 61.9, 369.8)","(102, 2013, 120.4, 214.5)","(0, 2017, 70.1, 256.4)","(0, 2016, 61.2, 333.1)","(4, -1, 174.1, 280.1)","(25, -1, 145.1, 357.4)","(58, -1, 54.8, 334.7)","(102, -1, 97.2, 202.2)","(0, -1, 73.5, 215.9)","(0, -1, 54.8, 325.1)"
318,"(58, 2012, 84.9, 385.7)","(25, 2013, 84.8, 351.8)","(25, 2017, 73.2, 245.1)","(40, 2013, 97.0, 268.5)","(4, 2014, 100.4, 273.7)","(8, 2017, 75.1, 295.6)","(58, -1, 83.5, 366.3)","(25, -1, 73.0, 330.0)","(25, -1, 69.9, 258.2)","(40, -1, 95.4, 321.1)","(4, -1, 87.8, 270.8)","(8, -1, 70.1, 266.2)"
319,"(58, 2016, 97.1, 285.0)","(104, 2015, 86.4, 270.4)","(8, 2016, 57.5, 315.4)","(40, 2016, 100.0, 397.9)","(40, 2013, 75.1, 332.1)","(104, 2016, 109.0, 276.5)","(58, -1, 95.2, 308.1)","(104, -1, 98.4, 245.5)","(8, -1, 59.4, 312.5)","(40, -1, 103.1, 406.6)","(40, -1, 90.2, 347.5)","(104, -1, 118.1, 247.0)"
320,"(40, 2016, 82.4, 341.8)","(4, 2017, 86.7, 316.8)","(25, 2016, 81.0, 382.1)","(58, 2014, 66.9, 371.1)","(104, 2013, 86.6, 241.7)","(0, 2015, 45.9, 292.7)","(40, -1, 79.4, 357.0)","(4, -1, 94.7, 340.6)","(25, -1, 94.8, 379.7)","(58, -1, 74.1, 331.7)","(104, -1, 76.2, 236.0)","(0, -1, 50.7, 298.7)"
321,"(40, 2012, 110.2, 280.8)","(58, 2013, 59.0, 292.1)","(0, 2017, 91.3, 208.9)","(58, 2014, 129.0, 282.2)","(0, 2015, 107.3, 219.8)","(58, 2012, 96.3, 356.9)","(40, -1, 120.3, 312.5)","(58, -1, 58.4, 273.5)","(0, -1, 99.6, 203.5)","(58, -1, 127.6, 284.5)","(0, -1, 95.5, 196.1)","(58, -1, 86.6, 340.6)"
