Scenario no.,SB0,SB1,SB2,SB3,SB4,BM0,BM1,BM2,BM3,BM4
215,"(19, 2015, 120.2, 337.6)","(102, 2014, 97.9, 314.2)","(104, 2017, 127.1, 269.6)","(40, 2017, 113.1, 337.9)","(102, 2015, 94.5, 341.7)","(19, -1, 121.5, 361.1)","(102, -1, 103.4, 273.3)","(104, -1, 127.1, 266.2)","(40, -1, 115.3, 373.6)","(102, -1, 78.9, 345.2)"
216,"(8, 2014, 93.9, 213.8)","(102, 2013, 96.7, 225.5)","(104, 2012, 118.0, 302.5)","(0, 2013, 78.3, 233.5)","(102, 2017, 144.6, 310.3)","(8, -1, 105.2, 225.4)","(102, -1, 116.0, 222.7)","(104, -1, 111.0, 328.6)","(0, -1, 71.7, 235.2)","(102, -1, 121.8, 305.2)"
217,"(25, 2015, 67.6, 352.0)","(104, 2014, 80.0, 380.6)","(25, 2014, 71.4, 328.9)","(25, 2014, 101.8, 273.1)","(0, 2012, 145.3, 382.7)","(25, -1, 72.2, 385.5)","(104, -1, 76.6, 351.7)","(25, -1, 76.9, 360.3)","(25, -1, 94.5, 288.6)","(0, -1, 132.9, 375.0)"
218,"(25, 2012, 70.1, 365.7)","(104, 2013, 117.2, 215.2)","(0, 2017, 139.7, 249.2)","(0, 2013, 107.6, 300.7)","(25, 2015, 111.7, 211.6)","(25, -1, 62.8, 372.2)","(104, -1, 112.9, 217.0)","(0, -1, 156.8, 253.8)","(0, -1, 101.7, 294.0)","(25, -1, 120.5, 193.5)"
219,"(102, 2012, 88.7, 321.5)","(19, 2016, 71.4, 313.5)","(102, 2013, 104.4, 240.9)","(102, 2017, 125.2, 352.5)","(8, 2016, 51.6, 277.6)","(102, -1, 95.8, 270.9)","(19, -1, 77.7, 310.6)","(102, -1, 108.5, 232.8)","(102, -1, 131.6, 377.3)","(8, -1, 47.4, 242.3)"
220,"(8, 2013, 111.6, 208.5)","(4, 2017, 83.3, 253.0)","(102, 2016, 97.4, 291.1)","(0, 2016, 113.5, 391.7)","(102, 2013, 104.8, 320.5)","(8, -1, 100.2, 210.2)","(4, -1, 79.8, 234.9)","(102, -1, 102.5, 302.6)","(0, -1, 122.6, 370.4)","(102, -1, 113.5, 276.7)"
221,"(40, 2012, 122.8, 286.8)","(102, 2013, 130.3, 295.9)","(4, 2012, 94.7, 301.9)","(4, 2014, 102.4, 380.7)","(8, 2017, 171.0, 210.7)","(40, -1, 113.2, 269.9)","(102, -1, 124.6, 306.6)","(4, -1, 102.0, 327.8)","(4, -1, 106.2, 442.9)","(8, -1, 180.0, 205.4)"
222,"(25, 2017, 119.9, 357.3)","(4, 2014, 105.3, 308.5)","(25, 2014, 75.8, 208.7)","(40, 2017, 80.5, 399.4)","(104, 2014, 98.6, 307.0)","(25, -1, 105.5, 360.0)","(4, -1, 104.7, 323.8)","(25, -1, 80.2, 207.9)","(40, -1, 85.7, 407.8)","(104, -1, 109.6, 289.1)"
223,"(8, 2015, 128.2, 224.3)","(4, 2015, 126.2, 266.0)","(58, 2013, 123.3, 392.1)","(19, 2016, 117.6, 310.6)","(0, 2015, 75.5, 318.2)","(8, -1, 141.0, 245.5)","(4, -1, 129.5, 257.4)","(58, -1, 112.4, 406.3)","(19, -1, 117.2, 333.4)","(0, -1, 74.2, 324.5)"
224,"(19, 2015, 86.5, 317.6)","(40, 2016, 115.7, 293.0)","(4, 2015, 48.6, 332.7)","(19, 2016, 107.1, 390.1)","(102, 2015, 89.0, 331.0)","(19, -1, 75.3, 338.0)","(40, -1, 94.8, 275.7)","(4, -1, 49.2, 365.2)","(19, -1, 101.9, 351.6)","(102, -1, 80.0, 339.3)"
225,"(4, 2014, 91.7, 218.4)","(4, 2017, 110.7, 341.9)","(102, 2016, 78.7, 283.1)","(25, 2014, 147.6, 326.4)","(8, 2013, 99.1, 319.6)","(4, -1, 93.2, 219.2)","(4, -1, 101.7, 328.1)","(102, -1, 75.3, 281.9)","(25, -1, 137.3, 333.8)","(8, -1, 101.2, 284.4)"
226,"(0, 2016, 85.5, 389.2)","(19, 2016, 104.9, 302.6)","(8, 2012, 119.2, 334.3)","(25, 2015, 94.3, 295.8)","(0, 2016, 101.9, 323.5)","(0, -1, 84.3, 354.6)","(19, -1, 112.8, 292.3)","(8, -1, 118.2, 347.8)","(25, -1, 92.1, 233.7)","(0, -1, 98.1, 281.4)"
227,"(0, 2012, 95.7, 241.3)","(19, 2017, 70.0, 381.1)","(104, 2012, 53.1, 210.5)","(19, 2012, 124.8, 303.7)","(0, 2017, 89.9, 373.3)","(0, -1, 97.6, 220.1)","(19, -1, 69.4, 364.5)","(104, -1, 55.9, 172.2)","(19, -1, 124.3, 337.9)","(0, -1, 98.5, 363.7)"
228,"(25, 2014, 103.1, 285.3)","(25, 2012, 83.0, 389.5)","(0, 2016, 128.5, 373.8)","(8, 2013, 85.3, 320.2)","(40, 2015, 58.0, 321.6)","(25, -1, 101.4, 242.5)","(25, -1, 90.4, 391.0)","(0, -1, 123.2, 411.7)","(8, -1, 72.7, 368.3)","(40, -1, 65.2, 342.5)"
229,"(40, 2017, 86.0, 345.8)","(104, 2014, 107.5, 216.2)","(8, 2017, 101.4, 347.1)","(102, 2012, 76.6, 243.7)","(19, 2012, 99.2, 286.7)","(40, -1, 82.7, 367.6)","(104, -1, 112.4, 226.7)","(8, -1, 99.6, 368.4)","(102, -1, 89.8, 243.7)","(19, -1, 115.9, 249.3)"
230,"(58, 2014, 100.0, 325.7)","(4, 2017, 131.1, 276.2)","(0, 2014, 151.8, 378.5)","(8, 2017, 148.0, 353.6)","(8, 2016, 86.5, 326.7)","(58, -1, 100.9, 336.2)","(4, -1, 111.4, 302.8)","(0, -1, 136.3, 343.4)","(8, -1, 148.2, 377.0)","(8, -1, 93.1, 299.3)"
231,"(40, 2016, 110.4, 255.6)","(40, 2013, 120.2, 276.7)","(4, 2016, 54.7, 206.2)","(8, 2016, 115.7, 223.4)","(104, 2017, 118.8, 298.6)","(40, -1, 120.7, 254.4)","(40, -1, 101.4, 265.9)","(4, -1, 54.0, 208.9)","(8, -1, 114.9, 231.4)","(104, -1, 120.6, 296.1)"
232,"(102, 2014, 136.2, 307.3)","(19, 2014, 132.3, 224.7)","(102, 2015, 109.7, 288.9)","(19, 2014, 124.7, 348.8)","(4, 2014, 68.5, 236.5)","(102, -1, 147.1, 348.9)","(19, -1, 132.1, 215.5)","(102, -1, 104.6, 309.2)","(19, -1, 146.7, 345.8)","(4, -1, 70.7, 216.1)"
233,"(0, 2016, 115.5, 249.2)","(4, 2017, 109.8, 207.9)","(0, 2016, 64.4, 369.0)","(104, 2014, 109.2, 329.0)","(104, 2014, 83.5, 234.4)","(0, -1, 104.7, 249.0)","(4, -1, 95.7, 219.6)","(0, -1, 67.4, 355.7)","(104, -1, 133.5, 330.2)","(104, -1, 74.1, 210.6)"
234,"(40, 2015, 103.7, 270.6)","(19, 2012, 104.0, 274.0)","(19, 2014, 45.1, 391.4)","(4, 2013, 95.2, 392.8)","(0, 2015, 101.1, 231.1)","(40, -1, 99.5, 264.4)","(19, -1, 102.2, 271.7)","(19, -1, 39.1, 397.8)","(4, -1, 89.9, 377.1)","(0, -1, 68.8, 236.9)"
235,"(58, 2012, 132.7, 372.1)","(4, 2017, 135.2, 251.8)","(58, 2016, 138.8, 208.6)","(40, 2014, 74.8, 211.0)","(102, 2013, 100.4, 390.1)","(58, -1, 122.5, 406.7)","(4, -1, 133.3, 247.6)","(58, -1, 141.5, 183.4)","(40, -1, 79.6, 185.4)","(102, -1, 108.6, 353.7)"
236,"(0, 2016, 144.5, 231.3)","(4, 2014, 127.5, 341.7)","(25, 2012, 122.6, 382.0)","(40, 2014, 63.7, 399.4)","(4, 2017, 115.9, 316.3)","(0, -1, 179.0, 226.5)","(4, -1, 122.8, 314.9)","(25, -1, 120.8, 369.1)","(40, -1, 67.1, 378.9)","(4, -1, 113.1, 322.4)"
237,"(58, 2014, 117.7, 320.3)","(40, 2013, 120.4, 399.8)","(25, 2015, 91.6, 229.3)","(25, 2016, 37.7, 342.7)","(25, 2017, 96.0, 266.1)","(58, -1, 101.1, 352.3)","(40, -1, 128.3, 377.5)","(25, -1, 93.8, 217.3)","(25, -1, 23.7, 323.0)","(25, -1, 102.5, 245.2)"
238,"(102, 2016, 120.7, 329.1)","(8, 2014, 54.8, 359.9)","(8, 2013, 108.1, 263.5)","(58, 2015, 112.6, 306.7)","(40, 2014, 114.3, 214.2)","(102, -1, 114.0, 293.7)","(8, -1, 57.6, 385.6)","(8, -1, 101.0, 291.5)","(58, -1, 109.8, 332.5)","(40, -1, 104.5, 240.1)"
239,"(19, 2016, 141.9, 364.1)","(0, 2014, 109.4, 364.3)","(104, 2012, 79.0, 361.8)","(104, 2017, 75.5, 231.4)","(4, 2015, 159.1, 298.7)","(19, -1, 135.1, 339.5)","(0, -1, 122.3, 362.0)","(104, -1, 87.8, 346.6)","(104, -1, 81.3, 202.3)","(4, -1, 143.3, 340.7)"
240,"(104, 2014, 130.1, 248.5)","(102, 2013, 118.5, 270.1)","(40, 2017, 144.4, 223.4)","(102, 2016, 137.6, 232.5)","(25, 2017, 50.9, 258.2)","(104, -1, 154.9, 227.3)","(102, -1, 112.0, 270.4)","(40, -1, 145.3, 228.6)","(102, -1, 144.8, 245.6)","(25, -1, 58.5, 265.4)"
241,"(0, 2012, 120.1, 368.2)","(102, 2013, 120.1, 230.5)","(8, 2016, 106.5, 263.2)","(19, 2012, 95.5, 211.0)","(40, 2016, 124.9, 321.5)","(0, -1, 114.7, 366.0)","(102, -1, 115.1, 243.3)","(8, -1, 99.2, 271.7)","(19, -1, 94.5, 241.7)","(40, -1, 109.9, 286.5)"
242,"(25, 2015, 106.4, 302.1)","(0, 2014, 99.9, 342.4)","(25, 2016, 115.9, 344.6)","(40, 2012, 89.9, 343.2)","(104, 2015, 98.7, 288.2)","(25, -1, 97.7, 295.6)","(0, -1, 101.1, 313.9)","(25, -1, 107.8, 339.7)","(40, -1, 103.1, 360.6)","(104, -1, 94.3, 257.2)"
243,"(4, 2014, 92.3, 390.2)","(25, 2015, 143.5, 267.8)","(104, 2013, 119.9, 347.7)","(0, 2017, 136.6, 375.9)","(4, 2013, 161.0, 315.9)","(4, -1, 100.8, 408.2)","(25, -1, 124.6, 237.6)","(104, -1, 125.4, 364.0)","(0, -1, 124.5, 364.0)","(4, -1, 131.9, 332.9)"
244,"(4, 2014, 78.7, 272.7)","(104, 2013, 83.8, 216.3)","(25, 2014, 130.6, 396.6)","(0, 2017, 69.4, 285.8)","(19, 2013, 66.4, 220.5)","(4, -1, 77.4, 272.5)","(104, -1, 78.4, 228.2)","(25, -1, 130.0, 383.4)","(0, -1, 62.1, 308.7)","(19, -1, 73.3, 224.0)"
245,"(0, 2017, 107.6, 301.0)","(102, 2017, 113.7, 296.4)","(0, 2013, 60.7, 277.0)","(104, 2013, 138.5, 371.6)","(4, 2014, 115.1, 395.6)","(0, -1, 130.3, 275.2)","(102, -1, 125.4, 343.1)","(0, -1, 57.0, 276.9)","(104, -1, 116.0, 353.7)","(4, -1, 113.0, 387.9)"
246,"(8, 2016, 45.4, 387.6)","(104, 2016, 84.3, 238.5)","(40, 2013, 144.4, 322.8)","(104, 2016, 111.2, 220.2)","(8, 2015, 122.8, 212.2)","(8, -1, 51.0, 398.8)","(104, -1, 80.2, 261.0)","(40, -1, 141.5, 326.7)","(104, -1, 117.8, 212.8)","(8, -1, 141.9, 231.3)"
247,"(4, 2013, 82.2, 374.8)","(19, 2015, 139.5, 273.5)","(40, 2016, 126.4, 218.2)","(0, 2014, 126.9, 242.7)","(8, 2017, 75.1, 345.8)","(4, -1, 85.8, 379.5)","(19, -1, 137.5, 282.5)","(40, -1, 115.8, 212.5)","(0, -1, 123.0, 240.2)","(8, -1, 73.6, 346.3)"
248,"(40, 2017, 90.2, 232.3)","(104, 2012, 87.2, 342.9)","(58, 2014, 103.2, 243.8)","(8, 2014, 84.0, 258.8)","(102, 2017, 131.9, 308.0)","(40, -1, 83.4, 230.1)","(104, -1, 82.8, 355.2)","(58, -1, 109.6, 242.2)","(8, -1, 90.0, 218.6)","(102, -1, 107.8, 268.2)"
249,"(102, 2017, 97.6, 297.6)","(4, 2016, 86.8, 338.2)","(104, 2014, 128.8, 287.2)","(25, 2017, 74.0, 245.7)","(19, 2017, 99.5, 359.3)","(102, -1, 96.0, 300.7)","(4, -1, 85.0, 309.9)","(104, -1, 151.8, 261.4)","(25, -1, 63.9, 239.9)","(19, -1, 104.3, 352.6)"
250,"(19, 2016, 107.3, 320.5)","(8, 2012, 112.6, 268.2)","(0, 2016, 165.2, 209.5)","(25, 2015, 127.9, 316.3)","(58, 2016, 85.7, 255.8)","(19, -1, 116.1, 333.9)","(8, -1, 122.4, 260.5)","(0, -1, 158.1, 199.8)","(25, -1, 119.8, 331.6)","(58, -1, 82.0, 223.3)"
251,"(25, 2015, 76.8, 210.0)","(19, 2014, 95.1, 272.0)","(8, 2014, 87.3, 215.7)","(19, 2015, 105.3, 266.6)","(4, 2014, 135.5, 351.8)","(25, -1, 82.4, 190.4)","(19, -1, 87.4, 282.8)","(8, -1, 112.4, 246.4)","(19, -1, 97.5, 291.2)","(4, -1, 137.5, 379.1)"
252,"(4, 2013, 102.7, 275.3)","(8, 2012, 114.1, 322.2)","(102, 2017, 76.2, 248.2)","(8, 2016, 73.4, 214.6)","(102, 2012, 92.3, 302.5)","(4, -1, 95.9, 233.0)","(8, -1, 128.1, 332.0)","(102, -1, 79.7, 234.7)","(8, -1, 73.1, 218.6)","(102, -1, 86.1, 328.5)"
253,"(0, 2014, 32.0, 330.2)","(4, 2012, 85.9, 266.5)","(104, 2013, 84.9, 349.4)","(0, 2013, 88.0, 371.2)","(40, 2016, 108.2, 287.9)","(0, -1, 40.0, 327.5)","(4, -1, 86.0, 291.7)","(104, -1, 86.5, 321.4)","(0, -1, 88.9, 335.9)","(40, -1, 113.9, 295.3)"
254,"(8, 2014, 77.2, 252.1)","(104, 2014, 103.0, 230.6)","(0, 2013, 112.3, 304.8)","(25, 2015, 66.0, 256.6)","(0, 2012, 92.7, 264.4)","(8, -1, 81.3, 267.9)","(104, -1, 88.0, 235.6)","(0, -1, 111.6, 358.9)","(25, -1, 61.3, 236.2)","(0, -1, 92.7, 258.0)"
255,"(19, 2013, 101.2, 263.7)","(104, 2012, 117.0, 330.5)","(4, 2016, 128.5, 218.8)","(58, 2013, 117.1, 343.5)","(25, 2017, 38.1, 256.4)","(19, -1, 113.4, 257.6)","(104, -1, 118.7, 290.2)","(4, -1, 112.1, 214.6)","(58, -1, 107.7, 388.8)","(25, -1, 36.4, 273.7)"
256,"(58, 2016, 86.9, 219.2)","(58, 2015, 104.2, 299.6)","(25, 2015, 113.1, 341.8)","(102, 2014, 104.1, 334.9)","(8, 2016, 96.1, 295.3)","(58, -1, 95.1, 208.6)","(58, -1, 106.2, 322.0)","(25, -1, 98.9, 327.3)","(102, -1, 113.2, 383.0)","(8, -1, 92.6, 272.4)"
257,"(104, 2013, 136.2, 332.6)","(0, 2012, 95.2, 337.2)","(104, 2012, 120.2, 233.4)","(58, 2016, 68.1, 361.4)","(8, 2013, 65.9, 239.4)","(104, -1, 141.4, 327.0)","(0, -1, 98.7, 357.7)","(104, -1, 120.7, 198.5)","(58, -1, 73.4, 311.1)","(8, -1, 66.3, 237.3)"
258,"(58, 2014, 57.4, 295.0)","(40, 2015, 79.8, 307.7)","(19, 2015, 59.8, 310.6)","(102, 2014, 107.8, 305.0)","(104, 2017, 119.2, 336.8)","(58, -1, 62.6, 310.7)","(40, -1, 95.0, 307.5)","(19, -1, 64.5, 321.3)","(102, -1, 109.9, 288.9)","(104, -1, 111.9, 284.8)"
259,"(19, 2013, 139.4, 253.9)","(104, 2012, 42.7, 236.7)","(104, 2012, 99.1, 261.6)","(25, 2017, 75.3, 325.1)","(25, 2017, 91.7, 253.1)","(19, -1, 127.8, 218.5)","(104, -1, 41.3, 249.2)","(104, -1, 98.3, 255.2)","(25, -1, 72.5, 314.3)","(25, -1, 90.9, 258.0)"
260,"(4, 2012, 64.7, 351.9)","(0, 2013, 110.0, 219.5)","(102, 2013, 85.3, 396.8)","(58, 2016, 123.7, 225.9)","(8, 2016, 85.1, 270.5)","(4, -1, 62.7, 332.4)","(0, -1, 111.9, 230.6)","(102, -1, 83.8, 362.6)","(58, -1, 129.6, 210.9)","(8, -1, 90.2, 262.5)"
261,"(4, 2014, 83.9, 208.5)","(0, 2014, 119.0, 393.7)","(58, 2012, 145.4, 355.6)","(4, 2013, 14.3, 354.4)","(58, 2016, 106.6, 232.6)","(4, -1, 84.9, 186.3)","(0, -1, 119.0, 416.3)","(58, -1, 145.5, 300.1)","(4, -1, 12.0, 380.1)","(58, -1, 97.0, 217.0)"
262,"(102, 2012, 172.3, 291.2)","(4, 2017, 78.8, 269.8)","(40, 2016, 88.7, 310.2)","(8, 2013, 126.2, 260.6)","(0, 2013, 97.1, 240.7)","(102, -1, 146.6, 284.8)","(4, -1, 84.2, 241.8)","(40, -1, 96.4, 279.0)","(8, -1, 125.7, 277.3)","(0, -1, 77.1, 231.0)"
263,"(8, 2014, 118.4, 360.8)","(58, 2017, 121.7, 288.8)","(58, 2013, 112.3, 297.1)","(19, 2013, 100.1, 388.8)","(40, 2017, 94.1, 246.1)","(8, -1, 107.8, 341.5)","(58, -1, 115.2, 309.7)","(58, -1, 129.7, 279.2)","(19, -1, 93.4, 380.4)","(40, -1, 101.1, 249.9)"
264,"(25, 2017, 80.4, 371.8)","(102, 2017, 163.4, 266.2)","(19, 2012, 83.2, 394.2)","(8, 2013, 67.4, 386.1)","(58, 2015, 132.0, 261.9)","(25, -1, 76.7, 387.0)","(102, -1, 137.9, 290.5)","(19, -1, 79.3, 413.2)","(8, -1, 66.9, 378.5)","(58, -1, 137.7, 289.7)"
265,"(4, 2012, 86.9, 399.2)","(40, 2017, 86.0, 208.4)","(4, 2017, 53.7, 209.5)","(19, 2014, 132.4, 326.3)","(4, 2012, 140.2, 289.2)","(4, -1, 76.3, 403.6)","(40, -1, 90.4, 191.3)","(4, -1, 52.0, 237.6)","(19, -1, 147.4, 321.6)","(4, -1, 142.9, 264.8)"
266,"(0, 2012, 109.5, 331.7)","(102, 2013, 98.2, 275.1)","(19, 2012, 92.5, 325.0)","(58, 2016, 76.1, 271.3)","(25, 2015, 102.0, 341.3)","(0, -1, 124.6, 317.7)","(102, -1, 103.2, 245.2)","(19, -1, 87.8, 334.6)","(58, -1, 80.1, 250.1)","(25, -1, 117.7, 336.0)"
267,"(25, 2017, 142.9, 281.6)","(19, 2016, 112.6, 212.5)","(40, 2014, 78.5, 277.9)","(25, 2017, 74.3, 392.1)","(25, 2015, 86.5, 234.1)","(25, -1, 130.7, 282.0)","(19, -1, 100.0, 219.3)","(40, -1, 70.0, 277.7)","(25, -1, 80.6, 366.8)","(25, -1, 84.9, 264.4)"
268,"(0, 2013, 105.9, 368.6)","(0, 2015, 114.8, 319.0)","(40, 2013, 98.7, 382.5)","(0, 2012, 112.3, 342.6)","(58, 2013, 113.7, 243.6)","(0, -1, 113.6, 338.8)","(0, -1, 105.2, 278.3)","(40, -1, 87.8, 381.7)","(0, -1, 127.2, 324.3)","(58, -1, 109.8, 230.4)"
269,"(19, 2014, 94.3, 238.6)","(104, 2016, 65.0, 215.8)","(58, 2015, 133.4, 363.9)","(8, 2016, 109.6, 377.6)","(4, 2017, 105.8, 370.3)","(19, -1, 97.0, 228.8)","(104, -1, 50.7, 169.4)","(58, -1, 142.7, 302.1)","(8, -1, 106.8, 430.9)","(4, -1, 119.6, 412.6)"
270,"(102, 2017, 109.8, 362.5)","(102, 2016, 101.3, 217.6)","(58, 2017, 115.2, 212.9)","(102, 2016, 76.5, 393.0)","(40, 2017, 87.8, 206.2)","(102, -1, 106.8, 354.1)","(102, -1, 85.7, 201.7)","(58, -1, 126.1, 229.2)","(102, -1, 71.4, 385.8)","(40, -1, 86.9, 183.6)"
271,"(104, 2016, 89.6, 218.2)","(104, 2012, 100.9, 237.8)","(4, 2014, 55.1, 320.2)","(25, 2017, 117.6, 327.4)","(58, 2014, 119.7, 311.8)","(104, -1, 97.2, 226.0)","(104, -1, 100.2, 254.8)","(4, -1, 39.1, 343.9)","(25, -1, 126.6, 283.1)","(58, -1, 123.5, 322.6)"
272,"(25, 2013, 56.8, 282.9)","(8, 2013, 70.5, 398.4)","(102, 2013, 121.9, 214.5)","(104, 2014, 136.3, 241.1)","(40, 2014, 84.6, 294.3)","(25, -1, 53.0, 272.6)","(8, -1, 80.2, 401.0)","(102, -1, 138.0, 198.4)","(104, -1, 158.7, 235.2)","(40, -1, 83.0, 286.7)"
273,"(102, 2014, 103.5, 271.1)","(58, 2013, 119.0, 296.7)","(19, 2012, 86.9, 328.7)","(19, 2017, 103.4, 348.8)","(102, 2017, 86.2, 238.4)","(102, -1, 106.0, 253.9)","(58, -1, 107.5, 324.9)","(19, -1, 83.2, 322.5)","(19, -1, 102.8, 400.6)","(102, -1, 90.3, 224.0)"
274,"(8, 2016, 110.5, 376.9)","(104, 2017, 60.3, 366.1)","(4, 2014, 65.1, 224.9)","(19, 2014, 62.7, 338.9)","(8, 2015, 77.7, 339.2)","(8, -1, 115.8, 369.3)","(104, -1, 75.8, 353.9)","(4, -1, 65.1, 241.2)","(19, -1, 71.5, 298.1)","(8, -1, 75.5, 320.3)"
275,"(4, 2014, 133.0, 235.1)","(102, 2016, 103.9, 271.8)","(104, 2017, 143.9, 394.9)","(102, 2013, 113.2, 264.6)","(40, 2015, 57.4, 265.5)","(4, -1, 100.7, 235.6)","(102, -1, 103.5, 284.9)","(104, -1, 157.6, 370.1)","(102, -1, 113.3, 259.9)","(40, -1, 61.0, 265.9)"
276,"(102, 2016, 131.2, 257.3)","(102, 2017, 103.0, 382.2)","(4, 2012, 95.1, 328.8)","(40, 2016, 131.3, 374.1)","(58, 2014, 84.4, 310.1)","(102, -1, 155.6, 278.6)","(102, -1, 112.5, 399.0)","(4, -1, 78.6, 381.2)","(40, -1, 145.6, 386.0)","(58, -1, 73.7, 296.7)"
277,"(40, 2013, 155.5, 312.0)","(104, 2016, 98.1, 359.0)","(104, 2015, 64.6, 319.2)","(4, 2016, 90.9, 336.3)","(40, 2015, 131.8, 283.7)","(40, -1, 154.7, 303.0)","(104, -1, 110.5, 372.1)","(104, -1, 74.5, 304.1)","(4, -1, 97.8, 331.3)","(40, -1, 125.7, 281.3)"
278,"(8, 2015, 108.3, 325.3)","(40, 2016, 131.7, 359.4)","(4, 2015, 114.0, 341.9)","(104, 2013, 102.4, 314.0)","(4, 2014, 103.4, 242.4)","(8, -1, 112.9, 277.0)","(40, -1, 133.1, 378.6)","(4, -1, 129.5, 369.7)","(104, -1, 105.9, 342.8)","(4, -1, 100.5, 236.5)"
279,"(102, 2012, 125.9, 385.7)","(104, 2016, 84.0, 207.7)","(40, 2015, 116.5, 318.4)","(0, 2014, 116.1, 210.2)","(4, 2015, 85.2, 204.8)","(102, -1, 135.3, 410.2)","(104, -1, 95.8, 210.2)","(40, -1, 99.7, 319.4)","(0, -1, 120.6, 209.7)","(4, -1, 95.4, 198.4)"
280,"(40, 2014, 81.2, 209.5)","(4, 2016, 84.6, 397.8)","(25, 2015, 95.8, 287.3)","(104, 2017, 74.9, 310.7)","(8, 2012, 55.2, 383.8)","(40, -1, 80.5, 191.6)","(4, -1, 91.6, 469.4)","(25, -1, 83.3, 307.7)","(104, -1, 62.6, 324.9)","(8, -1, 59.1, 388.6)"
281,"(104, 2012, 110.6, 281.9)","(19, 2016, 80.2, 301.8)","(19, 2017, 90.5, 379.7)","(102, 2017, 106.0, 274.9)","(25, 2015, 86.3, 295.0)","(104, -1, 121.7, 273.0)","(19, -1, 69.7, 298.5)","(19, -1, 85.5, 394.8)","(102, -1, 101.7, 222.3)","(25, -1, 72.6, 278.2)"
282,"(104, 2016, 123.0, 283.1)","(19, 2014, 109.2, 284.1)","(19, 2017, 70.8, 299.9)","(4, 2016, 74.6, 336.8)","(102, 2012, 110.5, 290.4)","(104, -1, 137.0, 277.3)","(19, -1, 91.5, 279.2)","(19, -1, 68.1, 284.9)","(4, -1, 82.4, 357.5)","(102, -1, 116.4, 270.5)"
283,"(40, 2013, 89.8, 328.3)","(40, 2015, 81.1, 219.8)","(102, 2017, 84.1, 206.6)","(102, 2013, 122.6, 212.2)","(19, 2012, 85.3, 362.8)","(40, -1, 83.0, 295.3)","(40, -1, 65.4, 183.4)","(102, -1, 67.1, 189.7)","(102, -1, 139.3, 232.7)","(19, -1, 75.2, 375.5)"
284,"(8, 2013, 84.6, 209.2)","(4, 2017, 104.8, 294.7)","(8, 2014, 96.0, 261.6)","(40, 2013, 107.8, 381.4)","(104, 2016, 132.6, 301.3)","(8, -1, 83.1, 243.8)","(4, -1, 142.1, 259.4)","(8, -1, 91.6, 256.1)","(40, -1, 92.5, 412.3)","(104, -1, 171.4, 308.3)"
285,"(104, 2012, 52.7, 393.8)","(104, 2015, 60.5, 244.6)","(8, 2012, 113.4, 328.6)","(8, 2017, 82.6, 208.1)","(104, 2016, 129.0, 353.5)","(104, -1, 55.6, 385.0)","(104, -1, 53.4, 268.7)","(8, -1, 109.0, 337.3)","(8, -1, 75.8, 177.4)","(104, -1, 125.9, 369.0)"
286,"(25, 2012, 84.2, 372.4)","(4, 2013, 111.2, 252.3)","(4, 2013, 90.5, 304.6)","(0, 2014, 98.4, 313.7)","(8, 2016, 98.6, 249.9)","(25, -1, 81.8, 351.3)","(4, -1, 132.4, 230.7)","(4, -1, 102.4, 330.9)","(0, -1, 96.0, 281.7)","(8, -1, 102.0, 245.4)"
287,"(4, 2016, 99.6, 267.0)","(102, 2015, 83.3, 321.2)","(0, 2015, 121.2, 274.1)","(8, 2015, 116.3, 290.8)","(19, 2017, 115.4, 280.8)","(4, -1, 119.9, 288.7)","(102, -1, 90.7, 298.1)","(0, -1, 99.9, 240.6)","(8, -1, 113.5, 271.5)","(19, -1, 113.0, 284.5)"
288,"(25, 2016, 100.9, 245.7)","(19, 2014, 79.0, 258.2)","(0, 2015, 85.8, 399.2)","(0, 2013, 108.8, 361.7)","(58, 2015, 106.5, 205.5)","(25, -1, 119.7, 238.0)","(19, -1, 86.9, 262.1)","(0, -1, 94.8, 428.9)","(0, -1, 100.2, 381.6)","(58, -1, 112.3, 224.7)"
289,"(25, 2015, 100.1, 261.6)","(19, 2016, 114.7, 340.1)","(19, 2012, 120.2, 233.1)","(4, 2012, 98.7, 222.8)","(0, 2013, 155.5, 328.9)","(25, -1, 112.7, 291.7)","(19, -1, 109.2, 315.4)","(19, -1, 152.1, 206.7)","(4, -1, 95.1, 224.9)","(0, -1, 160.7, 321.9)"
290,"(102, 2017, 75.8, 348.7)","(104, 2015, 81.8, 232.9)","(58, 2013, 93.1, 396.4)","(8, 2017, 62.9, 381.2)","(104, 2013, 122.6, 300.3)","(102, -1, 72.1, 399.1)","(104, -1, 69.1, 234.4)","(58, -1, 94.5, 398.2)","(8, -1, 60.4, 407.0)","(104, -1, 131.9, 284.6)"
291,"(104, 2015, 96.2, 309.9)","(58, 2013, 88.1, 225.0)","(25, 2013, 103.9, 287.2)","(4, 2014, 103.9, 296.2)","(104, 2013, 86.9, 292.3)","(104, -1, 92.5, 284.6)","(58, -1, 87.5, 266.1)","(25, -1, 117.9, 297.1)","(4, -1, 95.6, 303.7)","(104, -1, 87.8, 308.9)"
