Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10,SB11
138,"(4, 2014)","(104, 2016)","(0, 2015)","(19, 2017)","(40, 2017)","(4, 2013)","(8, 2012)","(4, 2013)","(25, 2012)","(102, 2017)","(104, 2015)","(25, 2017)"
139,"(40, 2012)","(58, 2015)","(8, 2014)","(40, 2012)","(102, 2013)","(40, 2017)","(104, 2014)","(4, 2013)","(40, 2015)","(104, 2012)","(4, 2017)","(25, 2017)"
140,"(104, 2013)","(4, 2013)","(104, 2012)","(0, 2012)","(102, 2015)","(102, 2015)","(58, 2017)","(40, 2014)","(104, 2015)","(40, 2012)","(25, 2014)","(0, 2015)"
141,"(4, 2014)","(19, 2017)","(19, 2012)","(0, 2017)","(102, 2013)","(8, 2015)","(0, 2013)","(58, 2012)","(58, 2014)","(102, 2012)","(102, 2013)","(4, 2013)"
142,"(104, 2013)","(40, 2015)","(0, 2013)","(0, 2016)","(25, 2016)","(58, 2014)","(0, 2012)","(25, 2013)","(8, 2014)","(8, 2016)","(25, 2016)","(102, 2012)"
143,"(4, 2013)","(58, 2015)","(25, 2016)","(0, 2016)","(0, 2013)","(8, 2016)","(102, 2013)","(58, 2017)","(58, 2013)","(102, 2012)","(102, 2016)","(0, 2016)"
144,"(4, 2016)","(102, 2012)","(0, 2016)","(4, 2015)","(8, 2017)","(104, 2015)","(102, 2015)","(104, 2017)","(0, 2017)","(0, 2017)","(0, 2016)","(8, 2012)"
145,"(8, 2015)","(104, 2015)","(40, 2012)","(102, 2015)","(40, 2017)","(25, 2013)","(25, 2017)","(102, 2016)","(104, 2015)","(104, 2015)","(40, 2015)","(58, 2012)"
146,"(40, 2017)","(4, 2012)","(40, 2017)","(4, 2016)","(4, 2012)","(104, 2012)","(102, 2012)","(19, 2014)","(40, 2016)","(8, 2012)","(58, 2017)","(19, 2017)"
147,"(8, 2016)","(25, 2014)","(104, 2013)","(104, 2016)","(25, 2017)","(4, 2017)","(104, 2017)","(104, 2017)","(104, 2012)","(19, 2013)","(19, 2012)","(8, 2014)"
148,"(102, 2014)","(19, 2012)","(40, 2013)","(4, 2012)","(40, 2014)","(4, 2013)","(4, 2017)","(8, 2016)","(25, 2013)","(19, 2013)","(4, 2016)","(4, 2016)"
149,"(8, 2017)","(40, 2014)","(58, 2013)","(4, 2013)","(40, 2016)","(104, 2012)","(25, 2012)","(58, 2015)","(40, 2014)","(58, 2017)","(0, 2014)","(8, 2013)"
150,"(4, 2012)","(4, 2012)","(4, 2012)","(58, 2016)","(19, 2014)","(58, 2013)","(40, 2012)","(25, 2015)","(8, 2012)","(102, 2016)","(104, 2014)","(104, 2015)"
151,"(0, 2013)","(25, 2012)","(104, 2014)","(0, 2013)","(25, 2014)","(8, 2016)","(58, 2015)","(8, 2012)","(8, 2015)","(8, 2015)","(102, 2016)","(58, 2017)"
152,"(0, 2012)","(8, 2013)","(4, 2017)","(0, 2013)","(40, 2012)","(102, 2012)","(19, 2012)","(25, 2014)","(25, 2015)","(102, 2013)","(4, 2016)","(102, 2012)"
153,"(104, 2016)","(104, 2014)","(58, 2013)","(25, 2016)","(40, 2012)","(40, 2013)","(102, 2017)","(102, 2017)","(19, 2015)","(40, 2014)","(40, 2012)","(25, 2012)"
154,"(0, 2016)","(102, 2016)","(104, 2015)","(104, 2013)","(25, 2015)","(0, 2015)","(19, 2012)","(58, 2012)","(104, 2015)","(19, 2014)","(25, 2013)","(25, 2016)"
155,"(25, 2015)","(102, 2014)","(58, 2014)","(104, 2017)","(0, 2013)","(4, 2012)","(4, 2012)","(19, 2014)","(102, 2013)","(104, 2013)","(25, 2012)","(58, 2017)"
156,"(0, 2016)","(25, 2014)","(102, 2013)","(102, 2015)","(4, 2013)","(104, 2015)","(58, 2017)","(40, 2013)","(4, 2017)","(40, 2016)","(25, 2014)","(8, 2013)"
157,"(40, 2013)","(102, 2015)","(104, 2014)","(8, 2017)","(25, 2012)","(102, 2013)","(8, 2015)","(104, 2013)","(8, 2013)","(4, 2014)","(104, 2014)","(102, 2015)"
158,"(40, 2016)","(104, 2012)","(40, 2016)","(19, 2016)","(8, 2014)","(40, 2016)","(25, 2016)","(104, 2017)","(4, 2017)","(0, 2015)","(104, 2016)","(104, 2017)"
159,"(102, 2017)","(0, 2013)","(25, 2012)","(25, 2016)","(40, 2016)","(104, 2014)","(40, 2012)","(58, 2013)","(4, 2016)","(25, 2017)","(40, 2017)","(19, 2017)"
160,"(19, 2013)","(104, 2015)","(19, 2015)","(40, 2017)","(19, 2014)","(25, 2012)","(58, 2016)","(4, 2016)","(102, 2015)","(58, 2013)","(40, 2013)","(8, 2014)"
161,"(102, 2012)","(104, 2017)","(4, 2017)","(102, 2015)","(19, 2012)","(102, 2013)","(25, 2016)","(4, 2014)","(4, 2016)","(104, 2016)","(8, 2016)","(0, 2016)"
162,"(25, 2013)","(40, 2017)","(58, 2013)","(104, 2013)","(25, 2016)","(25, 2012)","(102, 2013)","(102, 2015)","(25, 2013)","(40, 2014)","(102, 2012)","(25, 2017)"
163,"(8, 2013)","(0, 2017)","(4, 2015)","(104, 2013)","(4, 2012)","(4, 2015)","(40, 2017)","(58, 2014)","(58, 2014)","(104, 2013)","(4, 2012)","(40, 2013)"
164,"(102, 2015)","(102, 2014)","(58, 2015)","(102, 2013)","(0, 2014)","(58, 2016)","(0, 2012)","(8, 2012)","(58, 2014)","(104, 2016)","(104, 2017)","(58, 2014)"
165,"(102, 2014)","(104, 2016)","(0, 2014)","(8, 2015)","(4, 2014)","(58, 2012)","(19, 2012)","(58, 2017)","(102, 2013)","(25, 2015)","(0, 2017)","(104, 2017)"
166,"(102, 2012)","(19, 2013)","(58, 2016)","(104, 2013)","(40, 2016)","(8, 2012)","(104, 2012)","(4, 2013)","(25, 2012)","(0, 2015)","(25, 2012)","(102, 2014)"
167,"(0, 2015)","(58, 2014)","(40, 2012)","(58, 2012)","(4, 2013)","(25, 2017)","(25, 2014)","(8, 2017)","(8, 2014)","(25, 2012)","(19, 2016)","(19, 2012)"
168,"(40, 2016)","(8, 2014)","(19, 2017)","(8, 2015)","(104, 2012)","(0, 2017)","(58, 2016)","(0, 2013)","(4, 2013)","(19, 2016)","(40, 2014)","(4, 2016)"
169,"(102, 2012)","(0, 2012)","(40, 2012)","(25, 2016)","(102, 2016)","(25, 2012)","(58, 2013)","(58, 2012)","(104, 2012)","(58, 2017)","(0, 2014)","(8, 2012)"
170,"(0, 2013)","(40, 2015)","(0, 2017)","(104, 2016)","(40, 2013)","(58, 2016)","(25, 2012)","(25, 2013)","(8, 2017)","(25, 2013)","(0, 2015)","(104, 2012)"
171,"(4, 2013)","(58, 2012)","(0, 2013)","(0, 2015)","(8, 2014)","(0, 2016)","(102, 2014)","(8, 2017)","(102, 2013)","(40, 2017)","(25, 2015)","(0, 2013)"
172,"(40, 2016)","(58, 2012)","(19, 2013)","(58, 2015)","(102, 2013)","(40, 2016)","(58, 2016)","(40, 2015)","(102, 2015)","(40, 2012)","(19, 2014)","(19, 2012)"
173,"(19, 2012)","(104, 2016)","(25, 2014)","(0, 2017)","(58, 2014)","(104, 2017)","(58, 2012)","(19, 2017)","(104, 2012)","(8, 2014)","(104, 2015)","(104, 2012)"
174,"(8, 2012)","(0, 2017)","(8, 2017)","(0, 2013)","(104, 2017)","(0, 2016)","(25, 2015)","(25, 2015)","(19, 2015)","(40, 2017)","(8, 2017)","(25, 2013)"
175,"(8, 2016)","(104, 2012)","(102, 2016)","(104, 2013)","(4, 2014)","(19, 2014)","(8, 2014)","(104, 2015)","(102, 2012)","(4, 2016)","(58, 2015)","(0, 2013)"
176,"(102, 2016)","(4, 2012)","(40, 2017)","(40, 2012)","(58, 2012)","(102, 2016)","(102, 2017)","(104, 2014)","(25, 2013)","(40, 2014)","(104, 2017)","(58, 2013)"
177,"(102, 2015)","(102, 2013)","(0, 2016)","(58, 2012)","(19, 2013)","(8, 2015)","(4, 2014)","(4, 2016)","(0, 2017)","(102, 2016)","(102, 2016)","(0, 2016)"
178,"(8, 2015)","(58, 2012)","(19, 2012)","(8, 2016)","(8, 2012)","(19, 2013)","(0, 2014)","(0, 2015)","(58, 2016)","(25, 2014)","(19, 2016)","(0, 2013)"
179,"(104, 2016)","(40, 2014)","(104, 2013)","(8, 2014)","(58, 2016)","(58, 2012)","(0, 2013)","(4, 2017)","(40, 2015)","(19, 2012)","(19, 2012)","(25, 2017)"
180,"(8, 2015)","(4, 2016)","(58, 2012)","(104, 2016)","(8, 2016)","(104, 2015)","(4, 2012)","(102, 2014)","(25, 2012)","(25, 2016)","(8, 2017)","(25, 2014)"
181,"(58, 2012)","(8, 2016)","(104, 2016)","(104, 2016)","(104, 2014)","(0, 2013)","(0, 2013)","(4, 2012)","(0, 2013)","(40, 2016)","(104, 2014)","(19, 2013)"
182,"(58, 2014)","(4, 2014)","(8, 2017)","(19, 2015)","(0, 2016)","(25, 2015)","(40, 2017)","(19, 2015)","(104, 2016)","(102, 2017)","(104, 2016)","(104, 2015)"
183,"(8, 2015)","(4, 2016)","(58, 2012)","(0, 2014)","(0, 2017)","(58, 2016)","(19, 2015)","(104, 2014)","(19, 2015)","(19, 2014)","(102, 2016)","(25, 2016)"
184,"(0, 2013)","(40, 2012)","(58, 2016)","(58, 2013)","(104, 2017)","(40, 2015)","(8, 2014)","(19, 2016)","(102, 2017)","(19, 2015)","(40, 2014)","(4, 2015)"
185,"(19, 2017)","(25, 2012)","(19, 2017)","(40, 2013)","(104, 2012)","(4, 2014)","(19, 2017)","(0, 2015)","(58, 2015)","(25, 2014)","(102, 2015)","(58, 2016)"
186,"(19, 2015)","(19, 2013)","(40, 2012)","(4, 2015)","(0, 2015)","(4, 2012)","(8, 2014)","(40, 2012)","(25, 2017)","(8, 2015)","(58, 2014)","(25, 2014)"
187,"(58, 2012)","(104, 2015)","(4, 2015)","(25, 2016)","(4, 2013)","(19, 2016)","(102, 2016)","(19, 2014)","(0, 2015)","(102, 2016)","(19, 2015)","(0, 2016)"
188,"(8, 2012)","(102, 2015)","(19, 2017)","(4, 2012)","(0, 2012)","(58, 2014)","(4, 2013)","(40, 2013)","(25, 2013)","(58, 2017)","(19, 2016)","(4, 2013)"
189,"(102, 2013)","(19, 2014)","(19, 2017)","(8, 2017)","(25, 2016)","(40, 2017)","(25, 2015)","(58, 2015)","(104, 2012)","(0, 2017)","(58, 2016)","(102, 2012)"
190,"(8, 2017)","(58, 2015)","(58, 2017)","(40, 2016)","(102, 2017)","(104, 2014)","(8, 2015)","(8, 2017)","(0, 2014)","(104, 2017)","(4, 2016)","(102, 2015)"
191,"(19, 2016)","(40, 2012)","(40, 2016)","(58, 2014)","(4, 2016)","(8, 2015)","(0, 2013)","(8, 2016)","(40, 2013)","(8, 2015)","(0, 2012)","(19, 2017)"
192,"(58, 2014)","(25, 2014)","(58, 2013)","(25, 2014)","(4, 2017)","(19, 2013)","(58, 2017)","(8, 2013)","(104, 2013)","(104, 2013)","(8, 2014)","(19, 2014)"
193,"(58, 2016)","(104, 2016)","(40, 2016)","(58, 2013)","(40, 2015)","(8, 2017)","(104, 2014)","(40, 2016)","(104, 2013)","(104, 2013)","(0, 2017)","(0, 2014)"
194,"(0, 2017)","(58, 2014)","(102, 2014)","(19, 2013)","(19, 2015)","(58, 2017)","(4, 2014)","(4, 2015)","(40, 2013)","(4, 2013)","(4, 2016)","(19, 2013)"
195,"(0, 2017)","(0, 2017)","(40, 2013)","(25, 2017)","(19, 2015)","(104, 2014)","(8, 2012)","(0, 2016)","(25, 2013)","(104, 2015)","(19, 2017)","(102, 2016)"
196,"(104, 2012)","(104, 2013)","(40, 2016)","(0, 2012)","(19, 2015)","(40, 2015)","(104, 2013)","(0, 2012)","(40, 2012)","(40, 2012)","(104, 2015)","(8, 2014)"
197,"(58, 2014)","(8, 2012)","(4, 2016)","(19, 2016)","(25, 2016)","(40, 2012)","(4, 2015)","(58, 2015)","(4, 2017)","(19, 2013)","(104, 2014)","(8, 2012)"
198,"(8, 2014)","(40, 2016)","(0, 2013)","(8, 2017)","(40, 2016)","(19, 2014)","(0, 2015)","(40, 2012)","(8, 2013)","(19, 2012)","(19, 2014)","(0, 2017)"
199,"(0, 2013)","(25, 2014)","(104, 2012)","(8, 2014)","(102, 2015)","(104, 2012)","(0, 2013)","(58, 2017)","(25, 2015)","(0, 2014)","(40, 2017)","(102, 2016)"
200,"(25, 2013)","(4, 2012)","(104, 2012)","(58, 2014)","(8, 2014)","(40, 2013)","(4, 2014)","(58, 2012)","(58, 2017)","(0, 2014)","(19, 2014)","(102, 2013)"
201,"(19, 2014)","(25, 2012)","(25, 2013)","(4, 2015)","(4, 2012)","(40, 2012)","(58, 2013)","(104, 2017)","(4, 2012)","(0, 2016)","(0, 2012)","(0, 2012)"
202,"(0, 2016)","(104, 2013)","(19, 2013)","(19, 2014)","(0, 2016)","(102, 2012)","(25, 2013)","(8, 2016)","(4, 2012)","(58, 2013)","(8, 2016)","(19, 2017)"
203,"(4, 2017)","(19, 2015)","(8, 2013)","(102, 2017)","(8, 2017)","(104, 2013)","(102, 2016)","(58, 2014)","(19, 2017)","(40, 2017)","(0, 2012)","(25, 2014)"
204,"(104, 2013)","(104, 2016)","(19, 2017)","(102, 2015)","(40, 2015)","(8, 2012)","(40, 2017)","(0, 2017)","(25, 2014)","(58, 2012)","(8, 2013)","(58, 2016)"
205,"(40, 2016)","(0, 2015)","(58, 2015)","(0, 2014)","(4, 2013)","(19, 2016)","(25, 2015)","(58, 2016)","(0, 2012)","(102, 2013)","(25, 2013)","(19, 2012)"
206,"(104, 2016)","(25, 2017)","(58, 2017)","(19, 2016)","(58, 2015)","(40, 2012)","(104, 2014)","(0, 2015)","(102, 2013)","(58, 2013)","(25, 2013)","(104, 2012)"
207,"(4, 2014)","(25, 2013)","(104, 2015)","(19, 2013)","(4, 2017)","(58, 2013)","(25, 2014)","(40, 2013)","(0, 2013)","(102, 2016)","(58, 2013)","(58, 2016)"
208,"(0, 2013)","(19, 2014)","(58, 2013)","(40, 2013)","(40, 2014)","(25, 2016)","(102, 2012)","(40, 2013)","(4, 2014)","(8, 2017)","(8, 2013)","(4, 2013)"
209,"(102, 2017)","(0, 2013)","(4, 2013)","(58, 2014)","(104, 2015)","(58, 2017)","(102, 2016)","(102, 2017)","(8, 2015)","(40, 2012)","(25, 2016)","(8, 2016)"
210,"(4, 2015)","(25, 2012)","(102, 2017)","(19, 2015)","(8, 2017)","(102, 2012)","(25, 2012)","(25, 2013)","(104, 2015)","(0, 2017)","(102, 2016)","(102, 2012)"
211,"(102, 2012)","(104, 2015)","(8, 2014)","(25, 2017)","(58, 2016)","(0, 2015)","(102, 2015)","(104, 2015)","(40, 2013)","(25, 2013)","(19, 2017)","(40, 2017)"
212,"(8, 2016)","(58, 2015)","(104, 2016)","(4, 2017)","(40, 2014)","(102, 2013)","(58, 2014)","(25, 2015)","(19, 2015)","(104, 2016)","(102, 2012)","(25, 2017)"
213,"(102, 2015)","(0, 2015)","(19, 2014)","(4, 2016)","(0, 2016)","(104, 2012)","(8, 2012)","(25, 2013)","(19, 2013)","(40, 2016)","(19, 2017)","(25, 2017)"
214,"(0, 2012)","(25, 2012)","(58, 2017)","(19, 2016)","(8, 2012)","(19, 2013)","(0, 2015)","(40, 2017)","(0, 2016)","(8, 2014)","(8, 2014)","(104, 2013)"
215,"(19, 2013)","(40, 2017)","(40, 2016)","(8, 2015)","(4, 2013)","(58, 2017)","(8, 2015)","(40, 2012)","(4, 2016)","(25, 2015)","(19, 2017)","(19, 2017)"
216,"(8, 2014)","(25, 2015)","(40, 2013)","(19, 2014)","(25, 2016)","(25, 2013)","(4, 2015)","(19, 2013)","(4, 2013)","(104, 2013)","(8, 2016)","(104, 2013)"
217,"(25, 2017)","(102, 2014)","(0, 2014)","(4, 2016)","(102, 2013)","(102, 2017)","(58, 2012)","(8, 2015)","(8, 2012)","(8, 2012)","(102, 2013)","(4, 2013)"
218,"(8, 2012)","(19, 2014)","(4, 2016)","(19, 2017)","(40, 2015)","(25, 2012)","(19, 2016)","(8, 2014)","(58, 2016)","(0, 2017)","(104, 2014)","(0, 2015)"
219,"(4, 2013)","(58, 2017)","(4, 2012)","(58, 2016)","(40, 2015)","(0, 2014)","(102, 2015)","(102, 2013)","(40, 2013)","(4, 2012)","(0, 2013)","(19, 2015)"
220,"(0, 2016)","(0, 2013)","(19, 2012)","(104, 2013)","(58, 2013)","(8, 2013)","(104, 2014)","(4, 2012)","(104, 2017)","(8, 2013)","(102, 2012)","(104, 2013)"
221,"(102, 2013)","(25, 2017)","(104, 2015)","(104, 2017)","(25, 2015)","(0, 2014)","(102, 2016)","(8, 2012)","(0, 2015)","(58, 2017)","(104, 2015)","(40, 2012)"
222,"(104, 2017)","(25, 2013)","(104, 2013)","(19, 2012)","(0, 2013)","(58, 2016)","(19, 2017)","(19, 2012)","(0, 2013)","(58, 2012)","(40, 2016)","(8, 2017)"
223,"(102, 2016)","(25, 2016)","(19, 2017)","(4, 2013)","(4, 2012)","(104, 2013)","(0, 2015)","(58, 2016)","(40, 2015)","(58, 2013)","(0, 2012)","(25, 2016)"
224,"(19, 2014)","(102, 2015)","(102, 2013)","(19, 2013)","(8, 2012)","(25, 2013)","(102, 2012)","(102, 2013)","(58, 2016)","(102, 2016)","(4, 2013)","(0, 2012)"
225,"(0, 2017)","(8, 2016)","(58, 2017)","(25, 2012)","(40, 2017)","(58, 2017)","(0, 2012)","(58, 2015)","(25, 2012)","(102, 2017)","(4, 2012)","(104, 2012)"
226,"(58, 2017)","(0, 2013)","(0, 2013)","(25, 2013)","(40, 2013)","(25, 2014)","(4, 2013)","(19, 2015)","(25, 2015)","(58, 2017)","(0, 2016)","(25, 2016)"
227,"(4, 2017)","(25, 2014)","(19, 2015)","(40, 2014)","(25, 2012)","(0, 2015)","(4, 2013)","(4, 2016)","(4, 2017)","(102, 2013)","(104, 2016)","(8, 2016)"
228,"(58, 2013)","(4, 2017)","(104, 2012)","(4, 2017)","(0, 2012)","(8, 2015)","(4, 2015)","(104, 2017)","(40, 2016)","(40, 2012)","(104, 2017)","(104, 2017)"
229,"(25, 2017)","(8, 2014)","(104, 2013)","(40, 2017)","(19, 2014)","(102, 2014)","(0, 2015)","(0, 2014)","(8, 2016)","(40, 2015)","(19, 2017)","(19, 2015)"
230,"(4, 2012)","(8, 2016)","(19, 2013)","(104, 2014)","(19, 2015)","(4, 2016)","(102, 2013)","(4, 2017)","(0, 2015)","(4, 2016)","(104, 2013)","(8, 2015)"
231,"(19, 2017)","(8, 2017)","(102, 2016)","(19, 2014)","(4, 2017)","(19, 2017)","(104, 2014)","(19, 2014)","(58, 2013)","(25, 2017)","(102, 2015)","(40, 2013)"
232,"(8, 2013)","(40, 2014)","(102, 2015)","(0, 2017)","(58, 2013)","(58, 2012)","(4, 2015)","(0, 2015)","(58, 2013)","(40, 2013)","(102, 2012)","(58, 2012)"
233,"(25, 2015)","(19, 2015)","(104, 2012)","(58, 2015)","(58, 2014)","(25, 2012)","(25, 2017)","(102, 2013)","(0, 2014)","(8, 2013)","(102, 2014)","(25, 2013)"
234,"(19, 2017)","(25, 2013)","(8, 2012)","(19, 2012)","(4, 2016)","(4, 2015)","(58, 2013)","(25, 2014)","(104, 2015)","(19, 2014)","(4, 2013)","(0, 2013)"
235,"(104, 2017)","(104, 2015)","(4, 2015)","(25, 2016)","(4, 2017)","(4, 2013)","(40, 2017)","(0, 2012)","(25, 2014)","(104, 2015)","(102, 2014)","(25, 2013)"
236,"(4, 2014)","(104, 2012)","(19, 2016)","(19, 2014)","(58, 2016)","(104, 2013)","(25, 2017)","(25, 2016)","(40, 2017)","(104, 2014)","(25, 2013)","(102, 2012)"
237,"(104, 2014)","(104, 2017)","(0, 2017)","(0, 2015)","(40, 2014)","(19, 2015)","(40, 2013)","(25, 2013)","(4, 2015)","(4, 2013)","(8, 2015)","(19, 2015)"
238,"(25, 2013)","(0, 2013)","(4, 2012)","(104, 2014)","(4, 2013)","(102, 2012)","(40, 2014)","(8, 2013)","(25, 2017)","(4, 2014)","(104, 2013)","(19, 2017)"
239,"(104, 2014)","(4, 2015)","(102, 2016)","(58, 2015)","(19, 2015)","(58, 2015)","(25, 2015)","(58, 2014)","(58, 2015)","(102, 2012)","(0, 2017)","(19, 2014)"
240,"(19, 2013)","(25, 2013)","(58, 2013)","(40, 2016)","(40, 2016)","(8, 2015)","(4, 2017)","(104, 2014)","(40, 2015)","(8, 2014)","(25, 2015)","(25, 2013)"
241,"(25, 2016)","(102, 2016)","(40, 2017)","(8, 2014)","(0, 2014)","(0, 2016)","(19, 2012)","(102, 2014)","(19, 2013)","(4, 2012)","(19, 2013)","(58, 2015)"
242,"(19, 2016)","(58, 2016)","(58, 2013)","(40, 2015)","(19, 2014)","(25, 2016)","(0, 2017)","(104, 2016)","(0, 2014)","(4, 2012)","(25, 2014)","(0, 2013)"
243,"(40, 2013)","(102, 2017)","(40, 2015)","(25, 2013)","(58, 2013)","(40, 2015)","(19, 2012)","(104, 2012)","(102, 2014)","(0, 2015)","(40, 2017)","(104, 2012)"
244,"(0, 2013)","(58, 2014)","(19, 2014)","(102, 2012)","(40, 2015)","(0, 2015)","(19, 2016)","(102, 2014)","(25, 2013)","(58, 2016)","(104, 2013)","(8, 2016)"
245,"(19, 2013)","(0, 2014)","(40, 2013)","(104, 2015)","(102, 2012)","(40, 2015)","(58, 2014)","(104, 2015)","(19, 2013)","(58, 2013)","(0, 2013)","(40, 2012)"
246,"(25, 2013)","(8, 2013)","(19, 2014)","(104, 2014)","(102, 2017)","(4, 2017)","(104, 2016)","(58, 2014)","(104, 2013)","(0, 2014)","(19, 2014)","(4, 2014)"
247,"(102, 2012)","(25, 2016)","(0, 2012)","(102, 2012)","(102, 2016)","(25, 2013)","(4, 2016)","(58, 2013)","(104, 2012)","(0, 2017)","(25, 2016)","(40, 2012)"
248,"(4, 2013)","(25, 2015)","(4, 2012)","(104, 2016)","(0, 2017)","(8, 2015)","(104, 2016)","(25, 2013)","(0, 2014)","(102, 2012)","(102, 2013)","(19, 2017)"
249,"(102, 2012)","(25, 2015)","(19, 2016)","(102, 2017)","(25, 2017)","(25, 2016)","(0, 2014)","(102, 2016)","(40, 2014)","(19, 2014)","(4, 2013)","(8, 2013)"
250,"(102, 2017)","(102, 2017)","(19, 2017)","(4, 2013)","(102, 2017)","(102, 2014)","(102, 2012)","(104, 2016)","(19, 2016)","(0, 2012)","(102, 2013)","(40, 2017)"
251,"(58, 2017)","(102, 2014)","(25, 2012)","(102, 2016)","(58, 2013)","(104, 2014)","(0, 2013)","(19, 2013)","(58, 2017)","(104, 2015)","(40, 2012)","(25, 2013)"
252,"(8, 2013)","(102, 2012)","(102, 2012)","(25, 2017)","(40, 2017)","(8, 2016)","(8, 2012)","(25, 2017)","(0, 2013)","(40, 2012)","(104, 2015)","(40, 2012)"
253,"(102, 2015)","(40, 2012)","(104, 2014)","(4, 2012)","(58, 2015)","(0, 2012)","(40, 2015)","(40, 2012)","(19, 2014)","(25, 2015)","(58, 2016)","(40, 2016)"
254,"(25, 2017)","(25, 2013)","(4, 2012)","(8, 2015)","(40, 2015)","(58, 2014)","(58, 2015)","(8, 2015)","(40, 2015)","(0, 2012)","(4, 2012)","(4, 2015)"
255,"(25, 2017)","(104, 2014)","(0, 2015)","(19, 2017)","(0, 2015)","(104, 2014)","(19, 2015)","(0, 2012)","(104, 2016)","(4, 2012)","(58, 2016)","(0, 2013)"
256,"(8, 2012)","(8, 2015)","(104, 2013)","(19, 2016)","(25, 2015)","(19, 2012)","(25, 2014)","(8, 2013)","(104, 2013)","(4, 2015)","(0, 2013)","(19, 2016)"
257,"(25, 2017)","(4, 2014)","(40, 2013)","(25, 2017)","(40, 2013)","(104, 2017)","(102, 2015)","(0, 2013)","(58, 2014)","(4, 2017)","(4, 2012)","(25, 2017)"
258,"(19, 2015)","(0, 2015)","(58, 2013)","(25, 2012)","(102, 2016)","(40, 2017)","(25, 2015)","(104, 2016)","(19, 2016)","(102, 2013)","(102, 2013)","(104, 2012)"
259,"(104, 2014)","(19, 2015)","(8, 2012)","(58, 2014)","(19, 2013)","(0, 2014)","(0, 2012)","(40, 2012)","(104, 2014)","(102, 2012)","(40, 2012)","(104, 2014)"
260,"(58, 2013)","(58, 2016)","(19, 2014)","(25, 2014)","(19, 2017)","(0, 2012)","(19, 2013)","(58, 2013)","(58, 2012)","(58, 2013)","(40, 2017)","(0, 2012)"
261,"(58, 2012)","(4, 2012)","(0, 2013)","(40, 2014)","(58, 2017)","(104, 2015)","(58, 2016)","(0, 2012)","(4, 2013)","(102, 2017)","(40, 2015)","(40, 2017)"
262,"(104, 2015)","(4, 2015)","(8, 2013)","(104, 2015)","(40, 2013)","(58, 2017)","(102, 2015)","(8, 2016)","(25, 2016)","(58, 2015)","(0, 2015)","(19, 2013)"
263,"(4, 2013)","(4, 2015)","(0, 2013)","(58, 2013)","(104, 2012)","(104, 2017)","(4, 2013)","(104, 2012)","(25, 2012)","(19, 2013)","(25, 2017)","(104, 2015)"
264,"(19, 2015)","(0, 2014)","(19, 2017)","(40, 2013)","(40, 2013)","(4, 2013)","(19, 2017)","(40, 2015)","(4, 2016)","(0, 2015)","(19, 2013)","(25, 2016)"
265,"(4, 2016)","(8, 2017)","(25, 2015)","(0, 2014)","(4, 2014)","(40, 2013)","(8, 2014)","(4, 2014)","(104, 2015)","(19, 2017)","(19, 2012)","(102, 2013)"
266,"(25, 2014)","(102, 2012)","(4, 2014)","(58, 2017)","(19, 2016)","(58, 2014)","(0, 2015)","(4, 2015)","(40, 2013)","(102, 2012)","(25, 2012)","(4, 2015)"
267,"(8, 2016)","(8, 2012)","(4, 2016)","(25, 2014)","(102, 2014)","(102, 2015)","(58, 2013)","(58, 2015)","(19, 2017)","(104, 2012)","(0, 2014)","(25, 2013)"
268,"(40, 2014)","(25, 2015)","(104, 2017)","(104, 2014)","(19, 2015)","(58, 2015)","(40, 2013)","(19, 2017)","(58, 2016)","(19, 2012)","(4, 2013)","(104, 2015)"
269,"(104, 2015)","(58, 2013)","(19, 2013)","(58, 2017)","(4, 2015)","(0, 2012)","(19, 2013)","(0, 2016)","(25, 2012)","(19, 2017)","(19, 2014)","(58, 2015)"
270,"(25, 2013)","(25, 2016)","(25, 2016)","(40, 2014)","(102, 2012)","(104, 2014)","(40, 2017)","(19, 2016)","(8, 2015)","(4, 2013)","(0, 2012)","(102, 2013)"
271,"(8, 2012)","(58, 2013)","(102, 2013)","(0, 2013)","(4, 2014)","(104, 2013)","(102, 2016)","(104, 2012)","(25, 2014)","(102, 2013)","(58, 2015)","(104, 2014)"
272,"(8, 2017)","(40, 2014)","(102, 2014)","(8, 2013)","(8, 2012)","(104, 2017)","(58, 2014)","(0, 2014)","(8, 2014)","(19, 2014)","(4, 2013)","(40, 2012)"
273,"(58, 2016)","(102, 2012)","(19, 2017)","(4, 2015)","(104, 2013)","(104, 2017)","(40, 2014)","(0, 2015)","(4, 2017)","(25, 2015)","(4, 2016)","(4, 2013)"
274,"(19, 2012)","(104, 2013)","(4, 2016)","(4, 2017)","(102, 2013)","(58, 2015)","(104, 2013)","(19, 2016)","(104, 2015)","(25, 2016)","(104, 2016)","(8, 2016)"
275,"(104, 2016)","(40, 2017)","(19, 2014)","(19, 2013)","(8, 2015)","(25, 2014)","(104, 2015)","(19, 2017)","(4, 2013)","(58, 2014)","(0, 2014)","(19, 2013)"
276,"(4, 2012)","(40, 2013)","(102, 2017)","(19, 2012)","(0, 2014)","(8, 2014)","(40, 2013)","(25, 2014)","(104, 2013)","(0, 2014)","(4, 2016)","(102, 2013)"
